"Pg","Cassini","HST","Visible=Average_Cassini_HST","F164N","F212N","F335M","D164N=F164N-Visible","D212N=F212N-Visible","D335M=F335M-Visible","DUV=UV-Visible"
39.6,-13.634,-19.76,-16.697,-12.513,-12.304,-13.621,4.184,4.393,3.076,11.412
39.7,-13.494,-18.745,-16.12,-12.939,-12.417,-13.418,3.181,3.703,2.702,10.821
39.8,-13.32,-16.974,-15.147,-12.951,-12.268,-13.093,2.196,2.879,2.054,9.89
39.9,-11.911,-14.914,-13.412,-12.634,-11.916,-12.64,0.778,1.496,0.772,8.263
40,-11.165,-13.088,-12.126,-12.232,-11.499,-12.103,-0.106,0.627,0.023,7.159
40.1,-10.639,-11.359,-10.999,-12.02,-11.217,-11.584,-1.021,-0.218,-0.585,6.299
40.2,-9.67,-9.513,-9.592,-11.96,-10.988,-11.023,-2.369,-1.396,-1.431,5.324
40.3,-8.836,-8.146,-8.491,-11.96,-10.667,-10.375,-3.469,-2.176,-1.884,4.744
40.4,-7.905,-7.269,-7.587,-12.014,-10.166,-9.578,-4.427,-2.578,-1.991,4.424
40.5,-7.091,-6.682,-6.886,-12.12,-9.489,-8.676,-5.234,-2.603,-1.789,4.344
40.6,-6.457,-6.125,-6.291,-12.146,-8.671,-7.797,-5.855,-2.38,-1.506,4.381
40.7,-5.615,-5.375,-5.495,-11.999,-7.729,-7.077,-6.505,-2.234,-1.582,4.203
40.8,-4.649,-4.491,-4.57,-11.696,-6.677,-6.496,-7.126,-2.107,-1.926,3.857
40.9,-3.941,-3.536,-3.738,-11.113,-5.622,-5.99,-7.375,-1.883,-2.251,3.538
41,-3.451,-2.462,-2.957,-10.179,-4.752,-5.56,-7.223,-1.795,-2.604,3.06
41.1,-2.788,-1.343,-2.066,-8.89,-4.065,-5.204,-6.824,-1.999,-3.138,2.401
41.2,-1.824,-0.246,-1.035,-7.297,-3.316,-4.736,-6.262,-2.281,-3.701,1.541
41.3,-0.465,1.117,0.326,-5.543,-2.306,-3.99,-5.869,-2.632,-4.316,0.301
41.4,0.944,2.63,1.787,-3.752,-0.998,-2.932,-5.539,-2.785,-4.719,-1.079
41.5,2.324,4.129,3.226,-1.793,0.478,-1.618,-5.02,-2.748,-4.845,-2.464
41.6,3.558,5.594,4.576,0.332,1.999,-0.112,-4.244,-2.578,-4.688,-3.778
41.7,4.126,6.696,5.411,2.651,3.503,1.557,-2.76,-1.908,-3.855,-4.583
41.8,4.858,7.931,6.394,5.029,5.083,3.341,-1.365,-1.312,-3.053,-5.532
41.9,6.302,9.404,7.853,7.297,6.79,5.122,-0.556,-1.063,-2.731,-6.941
42,8.222,11.581,9.901,9.401,8.697,6.937,-0.5,-1.204,-2.965,-8.914
42.1,9.648,13.579,11.613,11.341,10.546,8.602,-0.272,-1.067,-3.011,-10.513
42.2,11.306,15.683,13.495,13.1,12.11,9.91,-0.395,-1.385,-3.585,-12.099
42.3,12.914,16.621,14.768,14.795,13.318,10.756,0.027,-1.45,-4.012,-13.048
42.4,14.287,17.138,15.713,16.238,14.179,11.213,0.525,-1.534,-4.499,-13.655
42.5,16.325,17.222,16.773,17.33,14.711,11.417,0.557,-2.062,-5.357,-14.377
42.6,17.171,17.3,17.236,18.151,15.032,11.554,0.916,-2.204,-5.682,-14.515
42.7,17.898,17.19,17.544,18.589,15.031,11.471,1.045,-2.513,-6.073,-14.527
42.8,18.105,16.97,17.538,18.654,14.75,11.19,1.116,-2.788,-6.348,-14.266
42.9,18.611,16.55,17.581,18.47,14.299,10.779,0.89,-3.281,-6.801,-14.11
43,17.629,15.724,16.676,17.956,13.62,10.201,1.279,-3.057,-6.475,-13.076
43.1,15.685,14.599,15.142,17.179,12.805,9.522,2.037,-2.337,-5.62,-11.58
43.2,14.356,12.987,13.672,16.298,11.98,8.828,2.627,-1.692,-4.844,-10.222
43.3,12.8,11.44,12.12,15.226,11.085,8.087,3.106,-1.035,-4.033,-8.844
43.4,11.218,9.708,10.463,14.008,10.156,7.327,3.544,-0.307,-3.137,-7.404
43.5,10.309,8.157,9.233,12.698,9.233,6.562,3.465,-0,-2.671,-6.42
43.6,8.879,6.9,7.889,11.302,8.31,5.809,3.413,0.42,-2.08,-5.335
43.7,7.842,5.879,6.86,9.91,7.411,5.124,3.049,0.55,-1.736,-4.562
43.8,7.668,4.921,6.295,8.593,6.541,4.56,2.298,0.247,-1.734,-4.234
43.9,6.246,4.273,5.26,7.344,5.713,4.091,2.084,0.453,-1.169,-3.404
44,5.053,3.991,4.522,6.195,4.958,3.662,1.673,0.436,-0.86,-2.822
44.1,3.926,3.513,3.72,5.125,4.274,3.214,1.406,0.554,-0.506,-2.007
44.2,3.562,2.99,3.276,4.169,3.672,2.775,0.892,0.396,-0.501,-1.508
44.3,2.459,2.35,2.404,3.354,3.17,2.345,0.95,0.766,-0.059,-0.546
44.4,1.166,2.009,1.588,2.67,2.733,1.907,1.083,1.145,0.32,0.384
44.5,1.302,1.795,1.548,2.125,2.383,1.475,0.577,0.835,-0.073,0.55
44.6,0.474,1.745,1.109,1.693,2.149,1.066,0.584,1.04,-0.043,1.121
44.7,-0.85,1.774,0.462,1.281,2.006,0.647,0.819,1.544,0.185,1.894
44.8,-1.129,1.862,0.367,0.931,1.965,0.255,0.564,1.598,-0.112,2.099
44.9,-1.065,1.98,0.457,0.695,2.05,-0.021,0.238,1.593,-0.478,2.093
45,-1.235,2.137,0.451,0.565,2.215,-0.141,0.114,1.764,-0.592,2.149
45.1,-1.105,2.288,0.592,0.551,2.477,-0.101,-0.04,1.885,-0.693,1.904
45.2,-0.943,2.581,0.819,0.684,2.888,0.093,-0.135,2.069,-0.726,1.533
45.3,0.035,2.972,1.503,0.949,3.469,0.36,-0.555,1.966,-1.144,0.676
45.4,0.58,3.51,2.045,1.347,4.209,0.745,-0.698,2.164,-1.3,-0.056
45.5,0.433,3.992,2.213,1.847,5.018,1.311,-0.366,2.805,-0.902,-0.421
45.6,0.929,4.511,2.72,2.358,5.756,2.042,-0.362,3.036,-0.678,-1.12
45.7,1.235,5.111,3.173,2.914,6.449,2.953,-0.259,3.276,-0.221,-1.75
45.8,1.559,5.901,3.73,3.557,7.194,4.024,-0.173,3.464,0.294,-2.456
45.9,2.394,6.685,4.539,4.306,8.094,5.231,-0.233,3.554,0.692,-3.377
46,3.173,7.815,5.494,5.149,9.115,6.558,-0.345,3.622,1.064,-4.392
46.1,4.508,9.255,6.881,6.03,10.099,7.881,-0.852,3.217,1,-5.781
46.2,5.42,11.184,8.302,6.858,10.907,9.105,-1.444,2.605,0.803,-7.091
46.3,6.361,12.996,9.679,7.655,11.552,10.219,-2.023,1.873,0.54,-8.308
46.4,7.564,14.996,11.28,8.498,12.077,11.148,-2.782,0.797,-0.132,-9.713
46.5,9.138,16.52,12.829,9.479,12.571,11.859,-3.35,-0.258,-0.97,-11.039
46.6,10.8,17.545,14.173,10.569,13.007,12.349,-3.604,-1.166,-1.823,-12.146
46.7,11.942,18.374,15.158,11.629,13.291,12.605,-3.529,-1.867,-2.553,-12.89
46.8,12.816,19.011,15.913,12.551,13.373,12.665,-3.363,-2.54,-3.249,-13.413
46.9,13.614,19.375,16.495,13.329,13.265,12.535,-3.165,-3.23,-3.959,-13.748
47,14.293,19.196,16.744,13.961,13.058,12.281,-2.783,-3.686,-4.463,-13.742
47.1,14.509,18.601,16.555,14.502,12.869,12.014,-2.053,-3.686,-4.541,-13.298
47.2,14.418,17.664,16.041,14.926,12.688,11.742,-1.115,-3.353,-4.299,-12.539
47.3,14.238,16.298,15.268,15.137,12.507,11.493,-0.131,-2.761,-3.775,-11.54
47.4,13.818,15.041,14.43,15.123,12.425,11.344,0.693,-2.005,-3.086,-10.503
47.5,13.143,13.717,13.43,14.877,12.394,11.308,1.447,-1.036,-2.122,-9.34
47.6,12.257,12.493,12.375,14.426,12.202,11.289,2.051,-0.173,-1.086,-8.168
47.7,11.425,10.847,11.136,13.867,11.664,11.24,2.731,0.528,0.104,-6.865
47.8,10.262,9.084,9.673,13.185,10.808,11.152,3.511,1.135,1.479,-5.402
47.9,8.835,6.61,7.723,12.373,9.785,10.916,4.651,2.062,3.193,-3.523
48,7.857,4.11,5.983,11.523,8.772,10.413,5.54,2.789,4.429,-2.024
48.1,8.159,2.305,5.232,10.595,7.747,9.648,5.363,2.515,4.416,-1.595
48.2,7.376,1.57,4.473,9.541,6.678,8.792,5.069,2.205,4.319,-1.225
48.3,6.051,1.028,3.54,8.325,5.492,7.987,4.785,1.953,4.448,-0.735
48.4,4.707,0.31,2.508,6.966,4.27,7.245,4.457,1.762,4.736,-0.186
48.5,4.097,-0.62,1.739,5.588,3.228,6.64,3.85,1.489,4.902,0.075
48.6,2.438,-1.483,0.478,4.303,2.592,6.181,3.826,2.114,5.704,0.815
48.7,1.135,-2.409,-0.637,3.112,2.27,5.916,3.748,2.907,6.553,1.411
48.8,1.299,-3.033,-0.867,2.038,2.042,5.943,2.905,2.909,6.81,1.139
48.9,0.935,-3.502,-1.284,1.065,1.677,6.463,2.348,2.96,7.747,1.083
49,0.328,-3.877,-1.774,0.214,1.258,7.259,1.989,3.033,9.034,1.145
49.1,-0.42,-4.055,-2.237,-0.439,0.819,7.891,1.798,3.057,10.128,1.237
49.2,-0.975,-4.058,-2.517,-0.854,0.381,8.007,1.663,2.898,10.524,1.299
49.3,-1.188,-4.068,-2.628,-1.058,-0.07,7.69,1.57,2.558,10.318,1.233
49.4,-1.487,-4.185,-2.836,-1.173,-0.543,6.969,1.663,2.293,9.805,1.298
49.5,-1.682,-4.246,-2.964,-1.325,-1.021,5.937,1.639,1.943,8.901,1.309
49.6,-1.741,-4.381,-3.061,-1.503,-1.521,4.573,1.558,1.54,7.634,1.308
49.7,-1.555,-4.485,-3.02,-1.755,-2.078,2.911,1.265,0.942,5.931,1.181
49.8,-1.593,-4.577,-3.085,-2.139,-2.773,0.988,0.946,0.312,4.073,1.164
49.9,-1.817,-4.373,-3.095,-2.629,-3.546,-1.165,0.466,-0.452,1.929,1.09
50,-2.552,-4.214,-3.383,-3.177,-4.233,-3.158,0.205,-0.85,0.225,1.283
50.1,-3.1,-4.051,-3.576,-3.746,-4.692,-4.634,-0.17,-1.116,-1.058,1.369
50.2,-3.181,-4.035,-3.608,-4.331,-4.961,-5.606,-0.723,-1.353,-1.998,1.294
50.3,-3.281,-4.131,-3.706,-4.887,-5.109,-6.134,-1.181,-1.403,-2.427,1.276
50.4,-3.512,-4.181,-3.847,-5.42,-5.261,-6.331,-1.573,-1.414,-2.484,1.286
50.5,-3.767,-4.361,-4.064,-5.884,-5.327,-6.181,-1.819,-1.263,-2.117,1.353
50.6,-4.029,-4.28,-4.154,-6.191,-5.27,-5.838,-2.037,-1.116,-1.684,1.265
50.7,-4.083,-4.34,-4.211,-6.337,-5.062,-5.475,-2.126,-0.851,-1.263,1.111
50.8,-3.887,-4.22,-4.054,-6.291,-4.751,-5.06,-2.238,-0.697,-1.006,0.587
50.9,-4.066,-4.154,-4.11,-6.05,-4.421,-4.71,-1.94,-0.311,-0.6,0.211
51,-4.405,-4.12,-4.262,-5.636,-4.112,-4.457,-1.374,0.15,-0.194,-0.12
51.1,-4.803,-4.02,-4.412,-5.071,-3.85,-4.351,-0.66,0.562,0.061,-0.491
51.2,-4.888,-3.895,-4.391,-4.461,-3.71,-4.462,-0.07,0.682,-0.07,-1.052
51.3,-4.823,-3.585,-4.204,-3.859,-3.746,-4.821,0.345,0.459,-0.617,-1.788
51.4,-4.931,-3.458,-4.194,-3.283,-3.911,-5.37,0.911,0.283,-1.175,-2.34
51.5,-5.035,-3.579,-4.307,-2.803,-4.142,-6.003,1.504,0.165,-1.696,-2.746
51.6,-5.499,-3.831,-4.665,-2.396,-4.397,-6.671,2.269,0.268,-2.006,-2.872
51.7,-5.553,-4.049,-4.801,-2.149,-4.672,-7.335,2.651,0.128,-2.535,-3.169
51.8,-5.346,-4.224,-4.785,-2.133,-4.915,-7.894,2.653,-0.13,-3.108,-3.551
51.9,-5.383,-4.497,-4.94,-2.413,-5.116,-8.331,2.527,-0.176,-3.391,-3.684
52,-5.363,-4.411,-4.887,-2.849,-5.251,-8.603,2.039,-0.364,-3.715,-3.929
52.1,-5.28,-4.184,-4.732,-3.249,-5.302,-8.674,1.483,-0.57,-3.942,-4.168
52.2,-5.566,-3.918,-4.742,-3.51,-5.28,-8.561,1.233,-0.538,-3.819,-4.024
52.3,-5.346,-3.912,-4.629,-3.714,-5.15,-8.255,0.915,-0.521,-3.626,-3.904
52.4,-5.021,-3.808,-4.415,-3.883,-4.905,-7.818,0.532,-0.49,-3.403,-3.794
52.5,-4.738,-3.821,-4.279,-4.032,-4.543,-7.283,0.248,-0.264,-3.004,-3.522
52.6,-4.914,-3.921,-4.418,-4.129,-4.112,-6.643,0.288,0.305,-2.226,-2.9
52.7,-4.481,-4.133,-4.307,-4.173,-3.71,-5.956,0.134,0.597,-1.649,-2.459
52.8,-3.962,-4.291,-4.127,-4.166,-3.361,-5.236,-0.039,0.765,-1.109,-2.027
52.9,-3.989,-4.08,-4.034,-4.11,-2.965,-4.5,-0.076,1.069,-0.465,-1.455
53,-3.788,-3.528,-3.658,-4.05,-2.45,-3.798,-0.392,1.207,-0.141,-1.122
53.1,-3.68,-2.8,-3.24,-3.982,-1.818,-3.134,-0.742,1.423,0.106,-0.792
53.2,-3.499,-2.362,-2.93,-3.839,-1.145,-2.486,-0.909,1.786,0.444,-0.324
53.3,-3.307,-2.096,-2.701,-3.589,-0.52,-1.82,-0.888,2.182,0.882,0.247
53.4,-3.202,-1.777,-2.49,-3.233,0.07,-1.152,-0.743,2.56,1.337,0.849
