"Pc_Latitude","Pg_Latitude","Longitude","u","v","correl"
-54.47387,-58.02149,155.49545,-10.21937,-2.19838,0.92779
-54.46821,-58.01612,166.17308,-13.40707,1.64784,0.86311
-54.46821,-58.01612,156.12167,-11.49177,1.64784,0.53612
-54.46821,-58.01612,136.71899,-9.57648,-1.64784,0.63815
-54.40367,-57.9548,161.3632,-15.35651,-2.19855,0.9094
-54.40367,-57.9548,155.49545,-10.23767,-2.19855,0.92845
-54.40367,-57.9548,175.93259,-6.39854,-2.19855,0.86598
-54.3335,-57.88811,161.39655,-16.66594,-2.19871,0.91246
-54.3335,-57.88811,155.52879,-11.53796,-2.19871,0.92993
-54.26335,-57.82141,161.39655,-16.69563,-2.19888,0.91617
-54.26335,-57.82141,155.52879,-11.55851,-2.19888,0.93216
-54.26335,-57.82141,175.86591,-3.85284,2.19888,0.86979
-54.20512,-57.76605,166.19807,-14.46105,1.64831,0.86036
-54.20512,-57.76605,156.09668,-10.60477,1.64831,0.67439
-54.20512,-57.76605,136.69398,-8.67663,-1.64831,0.55919
-54.20512,-57.76605,174.57425,-17.35326,-1.64831,0.82405
-54.19321,-57.75472,161.39655,-16.72529,-2.19905,0.92042
-54.19321,-57.75472,175.89925,-5.14624,2.19905,0.8819
-54.1231,-57.68803,155.56213,-12.8884,2.19921,0.93541
-54.1231,-57.68803,175.89925,-5.15536,2.19921,0.89536
-54.08805,-57.65469,161.39655,-16.76973,0,0.92526
-54.05301,-57.62134,155.56213,-12.91118,2.19938,0.9395
-54.05301,-57.62134,175.96593,-7.74671,2.19938,0.90824
-54.0474,-57.616,168.54842,-18.39034,1.64859,0.85771
-54.01797,-57.588,161.39655,-16.79932,0,0.92995
-54.01797,-57.588,155.56213,-12.92256,0,0.94242
-53.98294,-57.55465,161.39655,-16.81411,-2.19955,0.93319
-53.98294,-57.55465,175.96593,-7.76036,2.19955,0.91863
-53.94791,-57.52131,155.56213,-12.9453,0,0.94438
-53.94232,-57.51598,166.17308,-13.58658,1.64878,0.84773
-53.94232,-57.51598,156.07169,-9.7047,1.64878,0.79202
-53.94232,-57.51598,184.50063,-14.55705,-1.64878,0.76059
-53.94232,-57.51598,174.49924,-14.55705,-1.64878,0.80772
-53.91289,-57.48796,161.39655,-16.84366,-2.19972,0.93561
-53.91289,-57.48796,175.96593,-7.774,2.19972,0.92517
-53.88979,-57.46596,136.74399,-10.68922,1.64887,0.58399
-53.87787,-57.45461,155.56213,-12.96802,0,0.94518
-53.84286,-57.42127,161.39655,-16.87318,-2.19989,0.93706
-53.84286,-57.42127,155.52879,-11.68143,-2.19989,0.94591
-53.84286,-57.42127,175.93259,-6.48968,2.19989,0.92822
-53.83728,-57.41595,168.49841,-16.5414,1.64897,0.87874
-53.80785,-57.38792,175.96593,-7.79443,0,0.9296
-53.77285,-57.35458,161.39655,-16.90267,-2.20005,0.93812
-53.77285,-57.35458,155.52879,-11.70185,-2.20005,0.9467
-53.73786,-57.32123,175.93259,-6.5067,0,0.93069
-53.70287,-57.28789,163.56361,-18.23461,-2.20022,0.93478
-53.70287,-57.28789,161.39655,-16.93214,-2.20022,0.93935
-53.70287,-57.28789,155.52879,-11.72225,-2.20022,0.94782
-53.70287,-57.28789,175.96593,-7.81483,-2.20022,0.93212
-53.67981,-57.26591,156.07169,-9.76847,1.64925,0.86533
-53.67981,-57.26591,146.1953,-14.6527,1.64925,0.69519
-53.65357,-57.2409,168.44839,-14.66224,0,0.88369
-53.65357,-57.2409,174.44923,-12.70728,0,0.79132
-53.6329,-57.22119,161.3632,-15.65684,-2.20039,0.94105
-53.6329,-57.22119,155.52879,-11.74263,-2.20039,0.94938
-53.6329,-57.22119,165.03056,-10.43789,-2.20039,0.9085
-53.6329,-57.22119,165.03056,-10.43789,-2.20039,0.9085
-53.6329,-57.22119,175.93259,-6.52368,-2.20039,0.93326
-53.62734,-57.21589,142.4948,-14.67179,1.64935,0.67295
-53.62734,-57.21589,136.819,-13.69367,1.64935,0.70947
-53.62734,-57.21589,184.45062,-12.71555,1.64935,0.74205
-53.56295,-57.1545,161.3632,-15.68398,-2.20056,0.94298
-53.56295,-57.1545,155.52879,-11.76299,-2.20056,0.95116
-53.56295,-57.1545,165.03056,-10.45599,-2.20056,0.91268
-53.56295,-57.1545,165.03056,-10.45599,-2.20056,0.91268
-53.56295,-57.1545,175.93259,-6.53499,-2.20056,0.93301
-53.49303,-57.08781,163.49693,-15.7111,-2.20073,0.94048
-53.49303,-57.08781,161.3632,-15.7111,-2.20073,0.94471
-53.49303,-57.08781,155.52879,-11.78333,-2.20073,0.95271
-53.49303,-57.08781,165.03056,-10.47407,-2.20073,0.91573
-53.49303,-57.08781,165.03056,-10.47407,-2.20073,0.91573
