"Lambda(microns)","P(bar)_for_Tau=1","P(bar)_for_Tau=2","P3(bar)_for_tau=5"
0.5352,4.42,8.88,23.3
0.5353,4.42,8.89,23.4
0.5355,4.43,8.89,23.4
0.5356,4.43,8.9,23.4
0.5358,4.43,8.9,23.4
0.5359,4.43,8.91,23.4
0.536,4.44,8.91,23.4
0.5362,4.44,8.91,23.4
0.5363,4.44,8.92,23.4
0.5365,4.44,8.92,23.4
0.5366,4.44,8.92,23.4
0.5368,4.44,8.93,23.4
0.5369,4.44,8.93,23.4
0.5371,4.44,8.92,23.4
0.5372,4.44,8.93,23.4
0.5373,4.44,8.93,23.4
0.5375,4.44,8.93,23.4
0.5376,4.44,8.92,23.4
0.5378,4.44,8.92,23.4
0.5379,4.44,8.92,23.4
0.5381,4.44,8.92,23.4
0.5382,4.44,8.92,23.4
0.5384,4.44,8.92,23.4
0.5385,4.44,8.91,23.4
0.5386,4.44,8.92,23.4
0.5388,4.44,8.92,23.4
0.5389,4.44,8.92,23.4
0.5391,4.44,8.91,23.4
0.5392,4.44,8.91,23.4
0.5394,4.43,8.9,23.4
0.5395,4.43,8.9,23.4
0.5397,4.43,8.89,23.4
0.5398,4.42,8.86,23.3
0.54,4.42,8.85,23.3
0.5401,4.41,8.85,23.3
0.5402,4.41,8.82,23.3
0.5404,4.4,8.8,23.2
0.5405,4.39,8.8,23.2
0.5407,4.38,8.77,23.2
0.5408,4.36,8.69,23.1
0.541,4.35,8.61,22.9
0.5411,4.34,8.64,23
0.5413,4.33,8.65,23.1
0.5414,4.32,8.6,23
0.5416,4.31,8.55,22.9
0.5417,4.3,8.57,23
0.5419,4.3,8.59,23
0.542,4.28,8.56,23
0.5422,4.28,8.53,22.9
0.5423,4.27,8.54,23
0.5424,4.27,8.56,23
0.5426,4.27,8.58,23
0.5427,4.28,8.61,23.1
0.5429,4.28,8.61,23.1
0.543,4.28,8.61,23.1
0.5432,4.29,8.61,23.1
0.5433,4.29,8.64,23.1
0.5435,4.3,8.63,23.1
0.5436,4.31,8.56,23
0.5438,4.33,8.58,23
0.5439,4.35,8.68,23.1
0.5441,4.37,8.76,23.2
0.5442,4.38,8.79,23.3
0.5444,4.4,8.78,23.2
0.5445,4.42,8.83,23.2
0.5447,4.44,8.88,23.3
0.5448,4.46,8.89,23.3
0.545,4.48,8.87,23.2
0.5451,4.51,8.94,23.3
0.5453,4.54,9.03,23.4
0.5454,4.56,9.09,23.5
0.5456,4.59,9.13,23.5
0.5457,4.6,9.1,23.5
0.5459,4.63,9.11,23.4
0.546,4.65,9.16,23.5
0.5461,4.67,9.23,23.6
0.5463,4.69,9.23,23.6
0.5464,4.7,9.24,23.6
0.5466,4.73,9.34,23.7
0.5467,4.75,9.39,23.7
0.5469,4.77,9.44,23.8
0.547,4.78,9.45,23.8
0.5472,4.8,9.5,23.9
0.5473,4.82,9.56,24
0.5475,4.83,9.59,24
0.5476,4.85,9.64,24.1
0.5478,4.85,9.63,24
0.5479,4.86,9.62,24
0.5481,4.88,9.68,24.1
0.5482,4.89,9.72,24.2
0.5484,4.9,9.75,24.2
0.5485,4.91,9.77,24.2
0.5487,4.92,9.78,24.3
0.5488,4.92,9.79,24.3
0.549,4.93,9.82,24.3
0.5491,4.94,9.84,24.4
0.5493,4.95,9.86,24.4
0.5495,4.96,9.88,24.4
0.5496,4.96,9.87,24.4
0.5498,4.97,9.87,24.4
0.5499,4.98,9.91,24.5
0.5501,4.98,9.93,24.5
0.5502,4.99,9.94,24.5
0.5504,5,9.97,24.8
0.5505,5.01,9.99,25
0.5507,5.01,9.99,25
0.5508,5.01,10,25
0.551,5.02,10,25
0.5511,5.02,10,25.1
0.5513,5.03,10,25.3
0.5514,5.04,10.1,25.4
0.5516,5.05,10.1,25.6
0.5517,5.05,10.1,25.6
0.5519,5.06,10.1,25.7
0.552,5.06,10.1,25.8
0.5522,5.07,10.1,25.9
0.5523,5.07,10.2,25.9
0.5525,5.08,10.2,25.9
0.5526,5.08,10.2,25.9
0.5528,5.09,10.2,26
0.5529,5.09,10.2,26.2
0.5531,5.1,10.2,26.2
0.5533,5.1,10.2,26.2
0.5534,5.11,10.2,26.2
0.5536,5.11,10.3,26.2
0.5537,5.11,10.3,26.3
0.5539,5.12,10.3,26.4
0.554,5.12,10.3,26.4
0.5542,5.13,10.3,26.4
0.5543,5.13,10.3,26.4
0.5545,5.14,10.3,26.4
0.5546,5.14,10.3,26.5
0.5548,5.15,10.3,26.5
0.5549,5.15,10.3,26.5
0.5551,5.15,10.4,26.6
0.5552,5.16,10.4,26.6
0.5554,5.16,10.4,26.7
0.5556,5.17,10.4,26.7
0.5557,5.17,10.4,26.8
0.5559,5.18,10.4,26.8
0.556,5.19,10.4,26.8
0.5562,5.19,10.4,26.9
0.5563,5.19,10.4,26.9
0.5565,5.2,10.5,27
0.5566,5.21,10.5,27.1
0.5568,5.21,10.5,27.2
0.5569,5.22,10.5,27.2
0.5571,5.22,10.5,27.3
0.5573,5.23,10.5,27.4
0.5574,5.24,10.6,27.5
0.5576,5.24,10.6,27.6
0.5577,5.25,10.6,27.6
0.5579,5.25,10.6,27.6
0.558,5.26,10.6,27.7
0.5582,5.27,10.6,27.8
0.5583,5.27,10.6,27.9
0.5585,5.28,10.7,28
0.5587,5.29,10.7,28
0.5588,5.29,10.7,28.2
0.559,5.3,10.7,28.3
0.5591,5.3,10.7,28.2
0.5593,5.31,10.7,28.3
0.5594,5.32,10.7,28.4
0.5596,5.33,10.8,28.5
0.5598,5.33,10.8,28.6
0.5599,5.33,10.8,28.5
0.5601,5.34,10.8,28.6
0.5602,5.35,10.8,28.7
0.5604,5.36,10.9,28.9
0.5605,5.36,10.9,28.9
0.5607,5.37,10.9,29
0.5609,5.37,10.9,29
0.561,5.38,10.9,29
0.5612,5.39,10.9,29.1
0.5613,5.39,10.9,29.2
0.5615,5.4,10.9,29.2
0.5616,5.41,11,29.3
0.5618,5.41,11,29.4
0.562,5.41,11,29.3
0.5621,5.42,11,29.4
0.5623,5.43,11,29.5
0.5624,5.43,11,29.5
0.5626,5.44,11,29.6
0.5627,5.45,11,29.7
0.5629,5.45,11.1,29.7
0.5631,5.46,11.1,29.8
0.5632,5.47,11.1,29.8
0.5634,5.47,11.1,29.9
0.5635,5.48,11.1,29.9
0.5637,5.48,11.1,30
0.5639,5.49,11.1,30
0.564,5.49,11.2,30
0.5642,5.5,11.2,30.1
0.5643,5.5,11.2,30.1
0.5645,5.51,11.2,30.2
0.5647,5.51,11.2,30.3
0.5648,5.52,11.2,30.3
0.565,5.52,11.2,30.3
0.5651,5.53,11.2,30.3
0.5653,5.53,11.2,30.4
0.5655,5.54,11.3,30.4
0.5656,5.54,11.3,30.4
0.5658,5.55,11.3,30.5
0.5659,5.56,11.3,30.6
0.5661,5.56,11.3,30.6
0.5663,5.56,11.3,30.6
0.5664,5.57,11.3,30.6
0.5666,5.57,11.3,30.6
0.5667,5.57,11.3,30.6
0.5669,5.58,11.3,30.7
0.5671,5.59,11.4,30.8
0.5672,5.59,11.4,30.8
0.5674,5.6,11.4,30.8
0.5675,5.59,11.3,30.6
0.5677,5.57,11.2,30.1
0.5679,5.59,11.3,30.4
0.568,5.6,11.3,30.5
0.5682,5.58,11.2,29.9
0.5683,5.57,11.1,29.1
0.5685,5.55,11,28.4
0.5687,5.54,11,28.6
0.5688,5.53,10.9,28.5
0.569,5.51,10.9,28.3
0.5692,5.53,10.9,28.8
0.5693,5.52,10.9,28.5
0.5695,5.55,11,29.3
0.5696,5.61,11.3,30.2
0.5698,5.6,11.2,30.1
0.57,5.53,10.9,28.9
0.5701,5.51,10.8,28.6
0.5703,5.6,11.2,30.1
0.5705,5.64,11.4,30.8
0.5706,5.65,11.4,30.9
0.5708,5.67,11.5,31.2
0.5709,5.68,11.5,31.3
0.5711,5.68,11.5,31.2
0.5713,5.66,11.4,31
0.5714,5.65,11.4,30.9
0.5716,5.67,11.5,31.1
0.5718,5.66,11.4,31
0.5719,5.64,11.3,30.3
0.5721,5.6,11.1,29.7
0.5722,5.59,11.1,29.7
0.5724,5.64,11.3,30.5
0.5726,5.69,11.5,31.1
0.5727,5.68,11.4,30.7
0.5729,5.66,11.3,30.3
0.5731,5.64,11.3,30.2
0.5732,5.67,11.4,30.8
0.5734,5.7,11.5,31.3
0.5736,5.69,11.5,31.1
0.5737,5.7,11.5,31.1
0.5739,5.65,11.3,30.4
0.5741,5.66,11.4,30.7
0.5742,5.7,11.5,31.4
0.5744,5.68,11.5,31.1
0.5745,5.66,11.4,30.6
0.5747,5.65,11.3,30.4
0.5749,5.67,11.4,30.9
0.575,5.72,11.6,31.7
0.5752,5.72,11.6,31.7
0.5754,5.7,11.5,31.3
0.5755,5.68,11.4,30.9
0.5757,5.69,11.5,31.1
0.5759,5.71,11.6,31.5
0.576,5.71,11.6,31.4
0.5762,5.72,11.5,31.3
0.5764,5.72,11.5,31.1
0.5765,5.75,11.6,31.5
0.5767,5.78,11.7,31.9
0.5769,5.77,11.7,31.8
0.577,5.78,11.7,31.6
0.5772,5.78,11.7,31.5
0.5774,5.77,11.6,31.2
0.5775,5.8,11.7,31.8
0.5777,5.83,11.8,32.3
0.5779,5.85,11.9,32.4
0.578,5.87,11.9,32.5
0.5782,5.87,11.9,32.4
0.5784,5.88,11.9,32.4
0.5785,5.9,12,32.7
0.5787,5.92,12,32.9
0.5789,5.93,12,32.7
0.579,5.94,12.1,32.9
0.5792,5.97,12.1,33.1
0.5794,5.97,12.1,32.9
0.5795,5.98,12.1,32.9
0.5797,6,12.2,33.1
0.5799,6.02,12.2,33.2
0.58,6.03,12.3,33.3
0.5802,6.05,12.3,33.5
0.5804,6.06,12.3,33.4
0.5806,6.07,12.3,33.2
0.5807,6.08,12.3,33.2
0.5809,6.1,12.4,33.5
0.5811,6.11,12.4,33.6
0.5812,6.13,12.4,33.6
0.5814,6.14,12.4,33.6
0.5816,6.15,12.5,33.6
0.5817,6.16,12.5,33.6
0.5819,6.17,12.5,33.7
0.5821,6.18,12.5,33.8
0.5822,6.19,12.6,33.9
0.5824,6.2,12.5,33.9
0.5826,6.21,12.6,33.9
0.5828,6.23,12.6,34
0.5829,6.22,12.6,33.9
0.5831,6.23,12.6,33.8
0.5833,6.24,12.6,33.8
0.5834,6.24,12.6,33.8
0.5836,6.25,12.6,33.9
0.5838,6.26,12.7,33.9
0.5839,6.26,12.6,33.8
0.5841,6.27,12.6,33.8
0.5843,6.28,12.7,33.8
0.5845,6.29,12.7,33.9
0.5846,6.29,12.7,33.9
0.5848,6.31,12.7,34.1
0.585,6.32,12.8,34.2
0.5851,6.3,12.7,34
0.5853,6.31,12.7,33.9
0.5855,6.34,12.8,34.2
0.5857,6.35,12.8,34.2
0.5858,6.36,12.8,34.2
0.586,6.32,12.7,33.8
0.5862,6.3,12.6,33.5
0.5863,6.34,12.7,33.8
0.5865,6.36,12.7,33.8
0.5867,6.32,12.6,33.3
0.5869,6.32,12.6,33.1
0.587,6.34,12.6,33.2
0.5872,6.27,12.4,32.7
0.5874,6.28,12.4,32.8
0.5875,6.31,12.5,32.8
0.5877,6.18,12,31.2
0.5879,6.21,12.1,31.6
0.5881,6.17,11.9,30.5
0.5882,5.96,11,24.7
0.5884,5.87,10.7,24.3
0.5886,5.88,10.8,24.5
0.5888,5.63,9.94,24
0.5889,5.62,9.9,23.9
0.5891,5.77,10.4,24.3
0.5893,5.62,9.84,23.7
0.5894,5.74,10.4,24.5
0.5896,6.02,11.4,28.7
0.5898,5.86,10.8,25.9
0.59,5.67,9.94,23.8
0.5901,5.55,9.71,23.6
0.5903,5.66,10.1,24.2
0.5905,6.01,11.3,28
0.5907,6.15,11.8,30.5
0.5908,6.1,11.6,29.5
0.591,5.96,11.1,26.2
0.5912,5.92,11,26
0.5914,5.97,11.2,27.6
0.5915,5.97,11.2,27.8
0.5917,6,11.3,28.3
0.5919,5.84,10.8,26.8
0.5921,5.56,9.75,23.9
0.5922,5.74,10.4,25.1
0.5924,5.79,10.6,25.5
0.5926,5.72,10.3,24.8
0.5928,6.14,11.9,31.8
0.5929,6.22,12.2,32.5
0.5931,6.2,12.1,32.3
0.5933,6.07,11.7,31.3
0.5935,6.05,11.6,30.7
0.5936,6.33,12.5,33.2
0.5938,6.31,12.4,33.1
0.594,6.3,12.3,32.7
0.5942,5.8,10.7,27.8
0.5944,5.54,9.64,23.6
0.5945,5.75,10.4,24.3
0.5947,5.64,9.85,23.8
0.5949,5.73,10.2,24.1
0.5951,5.89,10.7,24.5
0.5952,5.94,11.1,27.8
0.5954,6.32,12.4,32.7
0.5956,6.32,12.3,32.4
0.5958,6.13,11.7,30.1
0.5959,5.89,10.9,26.7
0.5961,6.02,11.5,30.3
0.5963,6.34,12.4,32.6
0.5965,6.4,12.5,33.1
0.5967,6.32,12.3,32.4
0.5968,5.93,10.9,26.1
0.597,5.93,10.9,26
0.5972,6.19,11.8,30.1
0.5974,6.38,12.5,33
0.5976,6.35,12.4,32.3
0.5977,6.12,11.6,28.7
0.5979,6.16,11.7,29.2
0.5981,6.36,12.3,31.9
0.5983,6.46,12.7,33.4
0.5984,6.5,12.8,33.5
0.5986,6.46,12.6,33.1
0.5988,6.44,12.5,32.5
0.599,6.38,12.2,30.8
0.5992,6.32,12,29.6
0.5993,6.41,12.4,31.8
0.5995,6.49,12.6,32.8
0.5997,6.59,12.9,33.6
0.5999,6.62,13,33.7
0.6001,6.55,12.7,32.7
0.6002,6.61,12.9,33.2
0.6004,6.67,13.1,33.9
0.6006,6.68,13.1,34.1
0.6008,6.74,13.3,34.6
0.601,6.75,13.3,34.5
0.6011,6.77,13.3,34.7
0.6013,6.8,13.4,34.7
0.6015,6.81,13.4,34.6
0.6017,6.76,13.2,34.1
0.6019,6.78,13.2,34
0.602,6.87,13.5,34.9
0.6022,6.89,13.6,35.1
0.6024,6.91,13.6,35.1
