"Lambda(microns)","P(bar)_for_Tau=1","P(bar)_for_Tau=2","P3(bar)_for_tau=5"
0.8606,1.81,3.43,7.9
0.861,1.73,3.3,7.71
0.8613,1.63,3.15,7.53
0.8617,1.54,3.02,7.42
0.8621,1.41,2.81,7.21
0.8624,1.41,2.83,7.38
0.8628,1.53,3.07,7.84
0.8632,1.58,3.19,8.15
0.8636,1.53,3.13,8.13
0.8639,1.49,3.05,8.03
0.8643,1.57,3.18,8.09
0.8647,1.58,3.18,8.05
0.8651,1.59,3.19,8.02
0.8654,1.56,3.13,8.02
0.8658,1.69,3.32,8.55
0.8662,1.82,3.56,9.05
0.8666,1.74,3.46,9.11
0.8669,1.81,3.61,9.3
0.8673,1.85,3.73,9.51
0.8677,2.04,4.07,9.96
0.8681,2.26,4.44,11.1
0.8684,2.39,4.7,11.8
0.8688,2.5,4.94,12.5
0.8692,2.62,5.15,13
0.8696,2.63,5.16,13.1
0.8699,2.71,5.26,13.1
0.8703,2.74,5.3,13.1
0.8707,2.83,5.45,13.4
0.8711,3,5.69,13.6
0.8715,3.11,5.91,13.9
0.8718,3.3,6.15,14.1
0.8722,3.42,6.28,14.4
0.8726,3.41,6.26,14.4
0.873,3.3,6.06,14
0.8734,3.26,5.86,13.5
0.8737,3.08,5.53,12.8
0.8741,2.92,5.15,11.9
0.8745,2.87,4.98,11
0.8749,2.86,4.93,10.3
0.8753,2.79,4.81,9.93
0.8757,2.69,4.7,9.88
0.876,2.66,4.66,9.87
0.8764,2.65,4.69,9.91
0.8768,2.63,4.7,9.97
0.8772,2.62,4.72,9.98
0.8776,2.52,4.53,9.73
0.878,2.34,4.17,9.08
0.8783,2.2,3.84,7.96
0.8787,2.01,3.42,6.98
0.8791,1.81,3.06,6.13
0.8795,1.61,2.7,5.26
0.8799,1.34,2.25,4.52
0.8803,1.11,1.88,3.95
0.8807,1.02,1.72,3.54
0.8811,0.95,1.6,3.35
0.8814,0.692,1.24,2.74
0.8818,0.462,0.911,2.13
0.8822,0.387,0.781,1.9
0.8826,0.346,0.706,1.76
0.883,0.328,0.676,1.69
0.8834,0.29,0.603,1.59
0.8838,0.292,0.61,1.62
0.8842,0.332,0.691,1.79
0.8846,0.417,0.847,2.09
0.885,0.508,1,2.39
0.8853,0.505,1,2.41
0.8857,0.466,0.935,2.25
0.8861,0.431,0.868,2.11
0.8865,0.319,0.656,1.66
0.8869,0.201,0.421,1.15
0.8873,0.178,0.373,1.01
0.8877,0.201,0.419,1.13
0.8881,0.233,0.484,1.27
0.8885,0.276,0.568,1.43
0.8889,0.338,0.686,1.67
0.8893,0.31,0.633,1.6
0.8897,0.331,0.677,1.68
0.8901,0.367,0.743,1.86
0.8905,0.311,0.64,1.66
0.8909,0.329,0.676,1.72
0.8913,0.308,0.634,1.64
0.8917,0.334,0.685,1.75
0.8921,0.398,0.805,1.98
0.8925,0.357,0.728,1.86
0.8929,0.351,0.716,1.84
0.8933,0.361,0.734,1.87
0.8937,0.294,0.607,1.6
0.8941,0.27,0.559,1.48
0.8945,0.294,0.606,1.59
0.8949,0.307,0.63,1.63
0.8953,0.317,0.65,1.67
0.8957,0.284,0.588,1.56
0.8961,0.285,0.591,1.58
0.8965,0.376,0.768,1.95
0.8969,0.466,0.936,2.28
0.8973,0.589,1.14,2.73
0.8977,0.587,1.15,2.76
0.8981,0.569,1.13,2.76
0.8985,0.566,1.13,2.78
0.8989,0.508,1.02,2.62
0.8993,0.521,1.04,2.65
0.8997,0.581,1.15,2.82
0.9001,0.651,1.26,3.1
0.9005,0.74,1.4,3.35
0.9009,0.81,1.5,3.52
0.9013,0.864,1.59,3.78
0.9017,0.961,1.75,4.05
0.9021,1.07,1.93,4.28
0.9025,1.12,2.03,4.51
0.9029,1.16,2.11,4.78
0.9033,1.3,2.39,5.22
0.9038,1.48,2.69,5.95
0.9042,1.62,2.93,6.32
0.9046,1.59,2.93,6.43
0.905,1.7,3.13,6.81
0.9054,1.96,3.51,7.01
0.9058,2.11,3.77,7.57
0.9062,2.21,3.96,7.63
0.9066,2.42,4.18,7.54
0.907,2.68,4.35,7.73
0.9074,2.9,4.38,7.18
0.9079,3.06,4.66,8.2
0.9083,3.21,4.84,8.91
0.9087,3.34,4.81,8.53
0.9091,3.58,5.04,8.93
0.9095,3.79,5.25,9.32
0.9099,3.77,5.11,9.23
0.9103,3.85,5.33,10.1
0.9107,3.88,5.25,9.8
0.9112,3.83,5.32,11.9
0.9116,4.01,6.2,13.4
0.912,3.96,5.44,11.7
0.9124,4.02,5.72,12.8
0.9128,4.03,5.86,12.9
0.9132,3.84,5.18,9.63
0.9137,3.83,4.96,8.05
0.9141,4.04,5.46,11.8
0.9145,4.43,6.43,13.3
0.9149,4.42,6.31,13.2
0.9153,4.18,5.58,11.6
0.9158,4.08,5.2,9.6
0.9162,4.14,5.7,11.5
0.9166,4.5,6.46,13.7
0.917,4.67,6.78,14
0.9174,4.39,5.75,11.6
0.9179,4.35,5.4,10
0.9183,4.56,6.19,12.6
0.9187,4.47,6.34,13.4
0.9191,4.46,6.45,13.8
0.9195,4.33,6.12,12.9
0.92,4.28,6.28,13.5
0.9204,4.35,7.08,14.8
0.9208,4.26,6.49,14.3
0.9212,4.15,6.18,13.2
0.9217,4.04,5.89,12.7
0.9221,4.06,6,13.2
0.9225,4.1,6.48,14.3
0.9229,3.94,6.14,13.7
0.9234,3.85,5.98,13.1
0.9238,3.74,5.6,11.4
0.9242,3.63,5.61,11.4
0.9246,3.53,5.42,11.3
0.9251,3.49,5.26,11
0.9255,3.59,5.72,12.3
0.9259,3.69,5.87,12.8
0.9264,3.81,5.9,12.8
0.9268,4.03,6.32,13.4
0.9272,4.2,6.4,13.4
0.9276,4.2,5.98,11.7
0.9281,3.99,5.37,9.36
0.9285,3.91,5.13,8.39
0.9289,3.99,5.24,8.4
0.9294,3.95,5.18,8
0.9298,3.85,5.02,7.66
0.9302,3.81,4.9,7.21
0.9307,3.82,4.85,6.94
0.9311,3.83,4.81,6.82
0.9315,3.77,4.6,6.38
0.932,3.78,4.55,6.23
0.9324,3.77,4.39,5.61
0.9328,3.79,4.46,5.95
0.9333,3.82,4.51,5.88
0.9337,3.77,4.28,5.28
0.9341,3.71,4.22,5.25
0.9346,3.64,4.14,5.22
0.935,3.81,4.62,6.22
0.9355,3.85,4.66,6.23
0.9359,3.72,4.21,5.26
0.9363,3.85,4.57,6.02
0.9368,3.87,4.56,5.98
0.9372,3.74,4.21,5.26
0.9376,3.78,4.29,5.3
0.9381,3.8,4.28,5.3
0.9385,3.87,4.46,5.82
0.939,4.17,5.02,7.42
0.9394,4.51,5.46,8.81
0.9398,4.81,6.17,10.7
0.9403,4.82,6.12,10.9
0.9407,4.65,5.43,8.44
0.9412,4.39,5.13,7.47
0.9416,4.29,5.09,7.41
0.9421,4.4,5.15,7.52
0.9425,4.36,5.07,6.58
0.943,4.05,4.77,6.37
0.9434,4.22,5.06,7.29
0.9438,4.4,5.14,7.35
0.9443,3.97,4.41,5.32
0.9447,4.18,4.98,7.19
0.9452,4.68,5.28,7.73
0.9456,4.33,5.07,7.15
0.9461,4.02,4.56,5.47
0.9465,4.26,5.01,6.53
0.947,4.46,5.11,6.8
0.9474,4.37,5.11,7.41
0.9479,4.41,5.14,7.43
0.9483,4.19,4.98,6.55
0.9488,4.46,5.21,7.89
0.9492,4.68,5.37,8.03
0.9497,4.21,5.01,7.31
0.9501,3.99,4.47,5.3
0.9506,4.29,5.15,7.86
0.951,4.83,5.86,8.9
0.9515,4.64,5.45,8.23
0.9519,4.16,4.93,6.49
0.9524,4.01,4.63,5.32
0.9528,4.15,4.88,6.34
0.9533,4.58,5.27,7.82
0.9537,4.64,5.32,7.87
0.9542,4.43,5.13,7.22
0.9547,4.32,5.08,7.17
0.9551,4.47,5.19,7.54
0.9556,4.29,5.07,7.18
0.956,4.3,5.18,8.05
0.9565,4.27,5.14,8
0.9569,4.08,4.85,6.33
0.9574,4.4,5.3,9.24
0.9579,4.55,5.74,9.5
0.9583,4.36,5.3,8.1
0.9588,4.23,5.14,7.81
0.9592,4.06,4.89,6.53
0.9597,4.03,4.9,6.68
0.9602,4.25,5.2,8.04
0.9606,4.06,5.08,7.92
0.9611,3.94,5.01,7.91
0.9615,3.94,5.14,8.11
0.962,3.68,4.81,7.42
0.9625,3.45,4.49,6.3
0.9629,3.26,4.65,7.42
0.9634,3.06,4.9,8.53
0.9639,2.88,4.55,8.04
0.9643,3,4.52,7.32
0.9648,2.84,4.49,7.44
0.9653,2.52,4.35,7.31
0.9657,2.46,4.58,7.96
0.9662,2.45,4.31,7.71
0.9667,2.43,4.23,6.57
0.9671,2.4,4.37,7.7
0.9676,2.46,4.64,9.71
0.9681,2.45,4.55,9.48
0.9685,2.32,4.29,8.22
0.969,1.99,3.91,8.05
0.9695,1.79,3.46,7.48
0.9699,1.71,3.2,6.51
0.9704,1.43,2.71,5.92
0.9709,1.06,2.11,5.22
0.9713,1.16,2.26,5.3
0.9718,1.56,2.94,6.38
0.9723,1.78,3.39,6.91
0.9728,1.87,3.5,6.95
0.9732,1.76,3.36,6.95
0.9737,1.62,3.12,6.17
0.9742,1.5,2.87,5.76
0.9747,1.49,2.85,6.13
0.9751,1.57,2.93,6.09
0.9756,1.59,2.9,5.48
0.9761,1.61,2.88,5.32
0.9766,1.53,2.73,5.33
0.977,1.51,2.65,5.48
0.9775,1.43,2.5,5.27
0.978,1.37,2.36,5.06
0.9785,1.41,2.4,5.02
0.979,1.36,2.28,4.83
0.9794,1.3,2.18,4.6
0.9799,1.3,2.16,4.56
0.9804,1.24,2.06,4.37
0.9809,1.13,1.88,4.14
0.9814,1.11,1.83,4.06
0.9818,1.04,1.7,3.86
0.9823,0.989,1.61,3.68
0.9828,0.951,1.53,3.46
0.9833,0.836,1.36,3.17
0.9838,0.832,1.35,3.18
0.9843,0.852,1.37,3.25
0.9847,0.834,1.35,3.21
0.9852,0.919,1.45,3.37
0.9857,0.887,1.38,3.19
0.9862,0.854,1.33,2.98
0.9867,0.807,1.26,2.77
0.9872,0.739,1.17,2.58
0.9877,0.574,1.01,2.16
0.9881,0.438,0.869,1.82
0.9886,0.394,0.8,1.68
0.9891,0.439,0.871,1.82
0.9896,0.536,0.974,1.99
0.9901,0.558,0.996,2.04
0.9906,0.566,1.01,2.1
0.9911,0.613,1.05,2.21
0.9916,0.636,1.08,2.28
0.9921,0.685,1.14,2.51
0.9926,0.758,1.21,2.7
0.993,0.74,1.19,2.65
0.9935,0.712,1.16,2.58
0.994,0.718,1.16,2.57
0.9945,0.716,1.16,2.51
0.995,0.688,1.12,2.36
0.9955,0.629,1.06,2.22
0.996,0.574,1.01,2.09
0.9965,0.63,1.06,2.17
0.997,0.771,1.18,2.44
0.9975,0.849,1.26,2.58
0.998,0.851,1.27,2.59
0.9985,0.761,1.18,2.42
0.999,0.727,1.16,2.31
0.9995,0.821,1.26,2.56
1,0.889,1.34,2.72
1.0005,0.89,1.35,2.73
1.001,0.885,1.34,2.73
1.0015,0.877,1.33,2.72
1.002,0.866,1.32,2.71
1.0025,0.891,1.36,2.75
1.003,0.928,1.4,2.82
1.0035,0.946,1.42,2.86
1.004,0.909,1.38,2.8
1.0045,0.795,1.26,2.64
1.005,0.708,1.18,2.49
1.0055,0.667,1.15,2.42
1.006,0.626,1.11,2.3
1.0065,0.616,1.11,2.32
1.007,0.649,1.14,2.47
1.0076,0.635,1.14,2.47
1.0081,0.607,1.11,2.39
1.0086,0.589,1.09,2.3
1.0091,0.595,1.09,2.27
1.0096,0.592,1.08,2.24
1.0101,0.568,1.06,2.2
1.0106,0.554,1.05,2.2
1.0111,0.542,1.04,2.21
1.0116,0.52,1.02,2.19
1.0121,0.516,1.01,2.21
1.0127,0.573,1.09,2.32
1.0132,0.641,1.14,2.45
1.0137,0.662,1.14,2.43
1.0142,0.658,1.13,2.36
1.0147,0.664,1.12,2.33
1.0152,0.684,1.12,2.29
1.0157,0.726,1.13,2.27
1.0163,0.809,1.18,2.32
1.0168,0.867,1.21,2.38
1.0173,0.898,1.23,2.41
1.0178,0.914,1.24,2.37
1.0183,0.933,1.24,2.32
1.0188,0.94,1.23,2.27
1.0194,0.933,1.21,2.21
1.0199,0.928,1.19,2.15
1.0204,0.925,1.18,2.12
1.0209,0.908,1.15,2.03
1.0215,0.901,1.14,1.99
1.022,0.911,1.15,2
1.0225,0.908,1.14,1.99
1.023,0.89,1.11,1.93
1.0235,0.883,1.09,1.9
1.0241,0.879,1.09,1.88
1.0246,0.876,1.07,1.85
1.0251,0.87,1.06,1.82
1.0256,0.882,1.08,1.88
1.0262,0.901,1.11,1.95
1.0267,0.912,1.13,1.99
1.0272,0.921,1.15,2.06
1.0277,0.935,1.18,2.16
1.0283,0.945,1.19,2.21
1.0288,0.945,1.19,2.23
1.0293,0.946,1.19,2.24
1.0299,0.947,1.2,2.28
1.0304,0.948,1.19,2.21
1.0309,0.942,1.17,2.08
1.0315,0.936,1.15,1.97
1.032,0.935,1.14,1.92
1.0325,0.931,1.13,1.86
1.0331,0.939,1.14,1.91
1.0336,0.952,1.16,1.96
1.0341,0.969,1.19,2.05
1.0347,0.983,1.21,2.16
1.0352,0.996,1.25,2.24
1.0357,1.01,1.29,2.33
1.0363,1.03,1.34,2.49
1.0368,1.05,1.38,2.63
1.0373,1.09,1.43,2.76
1.0379,1.11,1.49,2.83
1.0384,1.13,1.53,2.94
1.039,1.15,1.57,3.06
1.0395,1.17,1.61,3.18
1.04,1.2,1.66,3.29
1.0406,1.22,1.69,3.35
1.0411,1.23,1.72,3.38
1.0417,1.25,1.74,3.42
1.0422,1.28,1.79,3.46
1.0428,1.31,1.86,3.62
1.0433,1.35,1.94,3.91
1.0438,1.4,2.04,4.15
1.0444,1.46,2.17,4.44
1.0449,1.52,2.3,4.88
1.0455,1.58,2.41,5.01
1.046,1.64,2.52,5.11
1.0466,1.72,2.63,5.21
1.0471,1.81,2.74,5.3
1.0477,1.92,2.91,5.7
1.0482,2.07,3.24,6.41
1.0488,2.29,3.71,7.61
1.0493,2.65,4.48,9.42
1.0499,3.35,6.08,13.8
1.0504,3.72,6.87,14.8
1.051,3.84,7.09,14.8
1.0515,4.01,7.33,14.9
1.0521,4.2,7.61,15.5
1.0526,4.19,7.48,14.8
1.0532,4.43,7.8,15
1.0537,4.54,7.92,15
1.0543,4.79,8.28,16.2
1.0549,5.34,9.01,19.3
1.0554,5.5,9.17,19.9
1.056,5.59,9.24,19.6
1.0565,5.75,9.43,19.9
1.0571,5.9,9.58,20
1.0576,5.99,9.67,20
1.0582,6.03,9.71,19.7
1.0588,6.06,9.72,19.2
1.0593,6.2,9.89,19.5
1.0599,6.34,10.1,20.4
1.0604,6.21,9.93,20.2
1.061,6.12,9.82,19.9
1.0616,6.07,9.73,19.6
1.0621,6.01,9.63,19.2
1.0627,5.93,9.49,18.6
1.0633,5.89,9.44,18.4
1.0638,5.84,9.38,18.1
1.0644,5.85,9.34,17.8
1.065,5.81,9.25,17
1.0655,5.68,9.1,16.4
1.0661,5.57,8.94,15.5
1.0667,5.44,8.75,15
1.0672,5.32,8.57,14.9
1.0678,5.18,8.36,14.8
1.0684,5.06,8.18,14.7
1.0689,4.98,8.04,14.6
1.0695,4.88,7.9,14.5
1.0701,4.79,7.79,14.4
1.0707,4.78,7.76,14.4
1.0712,4.79,7.74,14.4
1.0718,4.77,7.66,14.3
1.0724,4.76,7.59,14.2
1.073,4.77,7.6,14.2
1.0735,4.77,7.63,14.2
1.0741,4.75,7.54,14.1
1.0747,4.71,7.3,13.8
1.0753,4.71,7.4,13.9
1.0758,4.62,7.34,13.9
1.0764,4.53,7.21,13.7
1.077,4.42,6.92,13.2
1.0776,4.34,6.68,12.9
1.0782,4.25,6.76,13.1
1.0787,4.17,6.71,13.1
1.0793,4.09,6.59,12.9
1.0799,4.02,6.39,12.3
1.0805,3.92,6.24,11.7
1.0811,3.81,6.12,11.2
1.0817,3.73,6.08,11.3
1.0823,3.64,6.03,11.3
1.0828,3.56,5.93,10.9
1.0834,3.48,5.66,9.84
1.084,3.4,5.49,9.66
1.0846,3.33,5.54,9.79
1.0852,3.29,5.45,9.69
1.0858,3.33,5.22,9.26
1.0864,3.4,5.21,9.22
1.087,3.38,5.32,9.34
1.0875,3.38,5.31,9.35
1.0881,3.42,5.35,9.4
1.0887,3.4,5.25,9.14
1.0893,3.4,5.19,8.9
1.0899,3.39,5.05,8.44
1.0905,3.25,4.9,8.05
1.0911,3.08,4.76,8.03
1.0917,3.06,4.77,8.07
1.0923,2.86,4.43,7.59
1.0929,2.86,4.4,7.45
1.0935,2.71,4.27,7.64
1.0941,2.57,4.12,7.47
1.0947,2.58,4.19,7.4
1.0953,2.33,3.89,6.89
1.0959,2.31,3.87,6.77
1.0965,2.41,3.99,7.13
1.0971,2.48,4.11,7.58
1.0977,2.57,4.17,7.23
1.0983,2.36,3.94,6.84
1.0989,2.29,3.86,6.75
1.0995,2.61,4.13,6.67
1.1001,2.54,4.06,6.57
1.1007,2.66,4.17,6.83
1.1013,2.82,4.32,7.14
1.1019,2.79,4.25,6.83
1.1025,2.86,4.24,6.51
1.1031,2.74,4.14,6.47
1.1038,2.61,4.04,6.45
1.1044,2.67,4.04,6.39
1.105,2.4,3.72,6.16
1.1056,1.28,2.37,4.97
1.1062,1.52,2.57,4.88
1.1068,2.33,3.47,5.52
1.1074,2.05,3.08,5.16
1.108,1.6,2.51,4.38
1.1086,1.64,2.57,4.51
1.1093,1.8,2.72,4.73
1.1099,1.73,2.62,4.52
1.1105,1.52,2.31,4.14
1.1111,1.55,2.38,4.18
1.1117,1.36,2.16,4.07
1.1123,1.02,1.68,3.34
1.113,1.02,1.73,3.49
1.1136,0.804,1.4,3.04
1.1142,0.629,1.15,2.65
1.1148,0.757,1.38,3.15
1.1154,0.651,1.22,2.83
1.1161,0.489,0.969,2.36
1.1167,0.452,0.911,2.27
1.1173,0.397,0.811,2.05
1.1179,0.458,0.92,2.25
1.1186,0.496,0.969,2.25
1.1192,0.525,0.998,2.24
1.1198,0.606,1.1,2.33
1.1204,0.654,1.13,2.26
1.1211,0.549,0.983,2.03
1.1217,0.449,0.834,1.77
1.1223,0.288,0.582,1.33
1.123,0.156,0.341,0.848
1.1236,0.163,0.353,0.866
1.1242,0.24,0.489,1.11
1.1249,0.254,0.514,1.17
1.1255,0.222,0.464,1.07
1.1261,0.183,0.391,0.943
1.1268,0.16,0.348,0.861
1.1274,0.14,0.307,0.773
1.128,0.126,0.274,0.709
1.1287,0.138,0.3,0.767
1.1293,0.138,0.298,0.756
1.1299,0.139,0.302,0.774
1.1306,0.147,0.316,0.814
1.1312,0.171,0.367,0.937
1.1319,0.155,0.338,0.87
1.1325,0.143,0.313,0.83
1.1331,0.144,0.316,0.836
1.1338,0.133,0.292,0.779
1.1344,0.14,0.306,0.802
1.1351,0.101,0.218,0.576
1.1357,0.0767,0.172,0.48
1.1364,0.113,0.251,0.685
1.137,0.141,0.309,0.818
1.1377,0.151,0.33,0.875
1.1383,0.173,0.373,0.992
1.139,0.194,0.419,1.1
1.1396,0.203,0.437,1.12
1.1403,0.2,0.433,1.12
1.1409,0.208,0.448,1.15
1.1416,0.216,0.462,1.16
1.1422,0.234,0.495,1.2
1.1429,0.221,0.467,1.15
1.1435,0.188,0.402,1.01
1.1442,0.224,0.466,1.13
1.1448,0.249,0.507,1.18
1.1455,0.252,0.511,1.17
1.1461,0.277,0.546,1.2
1.1468,0.251,0.502,1.12
1.1474,0.231,0.467,1.04
1.1481,0.229,0.463,1.03
1.1488,0.214,0.436,0.989
1.1494,0.164,0.348,0.834
1.1501,0.163,0.346,0.827
1.1507,0.15,0.324,0.796
1.1514,0.126,0.279,0.711
1.1521,0.119,0.267,0.688
1.1527,0.0992,0.225,0.601
1.1534,0.0849,0.195,0.528
1.1541,0.073,0.169,0.47
1.1547,0.0653,0.149,0.414
1.1554,0.0561,0.129,0.361
1.1561,0.0522,0.121,0.338
1.1567,0.0526,0.121,0.334
1.1574,0.0601,0.136,0.377
1.1581,0.0817,0.18,0.5
1.1587,0.0913,0.2,0.553
1.1594,0.0793,0.173,0.486
1.1601,0.0662,0.145,0.401
1.1608,0.0646,0.14,0.381
1.1614,0.0579,0.126,0.343
1.1621,0.043,0.099,0.267
1.1628,0.046,0.109,0.303
1.1635,0.0522,0.124,0.351
1.1641,0.0545,0.129,0.366
1.1648,0.0609,0.143,0.407
1.1655,0.0701,0.16,0.447
1.1662,0.0706,0.157,0.441
1.1669,0.0672,0.149,0.417
1.1675,0.0694,0.153,0.427
1.1682,0.0888,0.195,0.533
1.1689,0.101,0.224,0.605
1.1696,0.0924,0.207,0.567
1.1703,0.105,0.234,0.624
1.171,0.131,0.292,0.748
1.1716,0.129,0.288,0.743
1.1723,0.129,0.287,0.748
1.173,0.146,0.32,0.817
1.1737,0.155,0.337,0.842
1.1744,0.171,0.367,0.898
1.1751,0.201,0.422,0.975
1.1758,0.216,0.45,1.01
1.1765,0.244,0.498,1.08
1.1772,0.255,0.515,1.1
1.1779,0.215,0.446,1.02
1.1786,0.21,0.439,1.02
1.1792,0.229,0.474,1.07
1.1799,0.187,0.398,0.981
1.1806,0.168,0.36,0.938
1.1813,0.19,0.404,1.01
1.182,0.185,0.395,0.996
1.1827,0.188,0.402,1.01
1.1834,0.177,0.376,0.98
1.1841,0.166,0.356,0.944
1.1848,0.183,0.39,1
1.1855,0.171,0.368,0.967
1.1862,0.193,0.412,1.03
1.1869,0.19,0.407,1
1.1876,0.14,0.306,0.813
1.1884,0.151,0.328,0.857
1.1891,0.197,0.416,1
1.1898,0.254,0.52,1.15
1.1905,0.246,0.506,1.14
1.1912,0.228,0.472,1.09
1.1919,0.197,0.417,1.01
1.1926,0.199,0.423,1.02
1.1933,0.243,0.507,1.13
1.194,0.267,0.551,1.17
1.1947,0.288,0.588,1.19
1.1955,0.295,0.598,1.19
1.1962,0.322,0.645,1.21
1.1969,0.335,0.669,1.23
1.1976,0.413,0.773,1.35
1.1983,0.502,0.835,1.4
1.199,0.478,0.818,1.38
1.1998,0.432,0.78,1.33
1.2005,0.391,0.737,1.25
1.2012,0.42,0.769,1.28
1.2019,0.456,0.794,1.29
1.2026,0.496,0.822,1.32
1.2034,0.526,0.842,1.34
1.2041,0.595,0.892,1.37
1.2048,0.648,0.924,1.39
1.2055,0.686,0.943,1.41
1.2063,0.742,0.969,1.43
1.207,0.741,0.966,1.43
1.2077,0.759,0.976,1.44
1.2085,0.832,1.01,1.57
1.2092,0.848,1.02,1.59
1.2099,0.818,1.01,1.55
1.2107,0.819,1,1.54
1.2114,0.841,1.01,1.56
1.2121,0.846,1.01,1.56
1.2129,0.837,1.01,1.53
1.2136,0.845,1.01,1.53
1.2143,0.874,1.02,1.57
1.2151,0.882,1.03,1.58
1.2158,0.881,1.03,1.59
1.2165,0.886,1.04,1.62
1.2173,0.892,1.06,1.65
1.218,0.901,1.08,1.69
1.2188,0.917,1.1,1.77
1.2195,0.931,1.12,1.85
1.2203,0.929,1.13,1.89
1.221,0.934,1.14,1.92
1.2217,0.952,1.17,1.98
1.2225,0.965,1.19,2.06
1.2232,0.977,1.21,2.15
1.224,0.989,1.25,2.22
1.2247,1,1.3,2.29
1.2255,1.01,1.33,2.39
1.2262,1.02,1.34,2.46
1.227,1.01,1.34,2.48
1.2277,1.01,1.34,2.51
1.2285,0.996,1.34,2.53
1.2293,0.979,1.32,2.52
1.23,0.956,1.29,2.51
1.2308,0.942,1.28,2.48
1.2315,0.988,1.36,2.64
1.2323,1.04,1.44,2.77
1.233,1.09,1.53,2.89
1.2338,1.13,1.59,3.01
1.2346,1.09,1.55,2.89
1.2353,1.1,1.57,2.91
1.2361,1.19,1.68,3.12
1.2369,1.21,1.72,3.16
1.2376,1.28,1.82,3.26
1.2384,1.38,1.95,3.38
1.2392,1.45,2.04,3.45
1.2399,1.56,2.21,3.73
1.2407,1.62,2.31,3.96
1.2415,1.71,2.45,4.13
1.2422,1.76,2.54,4.23
1.243,1.86,2.68,4.49
1.2438,1.94,2.8,4.81
1.2446,1.97,2.87,4.98
1.2453,2,2.93,5.06
1.2461,1.94,2.83,4.98
1.2469,1.95,2.83,4.99
1.2477,1.96,2.85,5.05
1.2484,1.94,2.84,5.09
1.2492,1.92,2.84,5.15
1.25,1.92,2.84,5.2
1.2508,1.77,2.65,4.98
1.2516,1.64,2.46,4.69
1.2523,1.56,2.3,4.38
1.2531,1.49,2.19,4.22
1.2539,1.44,2.1,4.12
1.2547,1.4,2.01,3.98
1.2555,1.37,1.97,3.92
1.2563,1.35,1.94,3.91
1.2571,1.32,1.9,3.87
1.2579,1.3,1.87,3.83
1.2587,1.28,1.84,3.79
1.2594,1.26,1.81,3.76
1.2602,1.25,1.8,3.8
1.261,1.28,1.87,4.01
1.2618,1.32,1.95,4.22
1.2626,1.35,2.04,4.48
1.2634,1.38,2.14,4.87
1.2642,1.44,2.3,5.27
1.265,1.52,2.52,5.93
1.2658,1.48,2.39,5.55
1.2666,1.43,2.27,5.24
1.2674,1.4,2.18,5.03
1.2682,1.37,2.12,4.87
1.269,1.35,2.05,4.67
1.2698,1.33,1.99,4.42
1.2706,1.34,2.01,4.48
1.2715,1.37,2.07,4.61
1.2723,1.39,2.13,4.73
1.2731,1.42,2.2,4.86
1.2739,1.46,2.26,4.96
1.2747,1.5,2.33,5.06
1.2755,1.53,2.36,5.05
1.2763,1.53,2.35,4.96
1.2771,1.54,2.34,4.87
1.278,1.55,2.33,4.78
1.2788,1.56,2.32,4.69
1.2796,1.57,2.31,4.6
1.2804,1.52,2.2,4.25
1.2812,1.42,2.01,3.89
1.2821,1.36,1.89,3.48
1.2829,1.31,1.79,3.31
1.2837,1.27,1.69,3.11
1.2845,1.23,1.63,2.87
1.2853,1.19,1.58,2.77
1.2862,1.16,1.51,2.7
1.287,1.13,1.46,2.63
1.2878,1.11,1.42,2.55
1.2887,1.09,1.39,2.47
1.2895,1.07,1.36,2.38
1.2903,1.05,1.34,2.33
1.2912,1.04,1.33,2.32
1.292,1.03,1.32,2.31
1.2928,1.03,1.31,2.31
1.2937,1.02,1.3,2.32
1.2945,1.01,1.29,2.31
1.2953,1.01,1.27,2.27
1.2962,0.999,1.23,2.18
1.297,0.99,1.21,2.08
1.2979,0.982,1.19,1.99
1.2987,0.975,1.18,1.94
1.2995,0.965,1.16,1.88
1.3004,0.96,1.15,1.86
1.3012,0.96,1.15,1.87
1.3021,0.948,1.14,1.87
1.3029,0.942,1.14,1.87
1.3038,0.943,1.15,1.9
1.3046,0.919,1.12,1.85
1.3055,0.907,1.1,1.82
1.3063,0.923,1.12,1.85
1.3072,0.905,1.1,1.79
1.308,0.893,1.08,1.69
1.3089,0.905,1.1,1.71
1.3098,0.865,1.05,1.64
1.3106,0.824,1.02,1.58
1.3115,0.826,1.02,1.59
1.3123,0.758,0.985,1.51
1.3132,0.822,1.02,1.63
1.3141,0.779,1.01,1.62
1.3149,0.744,0.987,1.58
1.3158,0.748,0.996,1.63
1.3167,0.614,0.924,1.44
1.3175,0.601,0.923,1.45
1.3184,0.431,0.811,1.35
1.3193,0.498,0.873,1.43
1.3201,0.595,0.97,1.62
1.321,0.678,1.01,1.69
1.3219,0.575,0.967,1.65
1.3228,0.533,0.953,1.65
1.3236,0.398,0.887,1.64
1.3245,0.304,0.67,1.33
1.3254,0.391,0.771,1.39
1.3263,0.603,1.02,1.85
1.3271,0.735,1.09,1.9
1.328,0.687,1.03,1.73
1.3289,0.636,0.996,1.66
1.3298,0.358,0.704,1.33
1.3307,0.155,0.383,0.969
1.3316,0.122,0.384,1.05
1.3324,0.435,0.776,1.35
1.3333,0.523,0.846,1.4
1.3342,0.469,0.835,1.51
1.3351,0.463,0.846,1.56
