"WAVELENGTH(microns)","THROUGHPUT","THROUGHPUTx5"
0.22206911621094,8.8114284779728E-009,4.4057142389864E-008
0.223,8.9702510019019E-009,4.485125500951E-008
0.22306931152344,8.9786085898808E-009,4.4893042949404E-008
0.224,1.5301525381651E-008,7.6507626908255E-008
0.22406953125,1.5783588959052E-008,7.8917944795261E-008
0.225,6.4600826613137E-009,3.2300413306568E-008
0.22506975097656,5.7452960285135E-009,2.8726480142567E-008
0.226,1.7238179990098E-008,8.6190899950489E-008
0.22606997070312,1.8121782922023E-008,9.0608914610113E-008
0.227,1.4577928419946E-008,7.2889642099731E-008
0.22707019042969,1.4303747818196E-008,7.151873909098E-008
0.228,1.3096019938449E-008,6.5480099692243E-008
0.22807041015625,1.3001108771194E-008,6.5005543855969E-008
0.229,1.3494438065959E-008,6.7472190329797E-008
0.22907062988281,1.3533026702E-008,6.766513351E-008
0.23,1.6392361078958E-008,8.1961805394788E-008
0.23007084960937,1.6607522188127E-008,8.3037610940635E-008
0.231,1.3237819473603E-008,6.6189097368014E-008
0.23107104492188,1.2976015613088E-008,6.4880078065439E-008
0.232,1.7559244544506E-008,8.779622272253E-008
0.2320712890625,1.7914374750898E-008,8.957187375449E-008
0.233,1.6056959199629E-008,8.0284795998147E-008
0.23307150878906,1.5912754407571E-008,7.9563772037857E-008
0.234,1.9463449982607E-008,9.7317249913034E-008
0.23407172851562,1.9741086212153E-008,9.8705431060767E-008
0.235,1.2995500786682E-008,6.4977503933408E-008
0.23507194824219,1.2465328509195E-008,6.2326642545974E-008
0.236,1.2242509237487E-008,6.1212546187435E-008
0.23607216796875,1.2223878718714E-008,6.1119393593572E-008
0.237,9.1785614017316E-009,4.5892807008658E-008
0.23707238769531,8.9385369400957E-009,4.4692684700479E-008
0.238,1.7874484589429E-008,8.9372422947143E-008
0.23807260742188,1.8582541778202E-008,9.2912708891012E-008
0.239,1.8786855346714E-008,9.3934276733568E-008
0.2390728515625,1.880151630517E-008,9.4007581525849E-008
0.24,1.8737173155891E-008,9.3685865779453E-008
0.24007307128906,1.8715494875035E-008,9.3577474375176E-008
0.241,1.7723704891805E-008,8.8618524459024E-008
0.24107329101562,1.7645211883244E-008,8.8226059416221E-008
0.242,1.5956722899419E-008,7.9783614497096E-008
0.24207351074219,1.582279304976E-008,7.9113965248801E-008
0.243,1.4468144676262E-008,7.2340723381311E-008
0.24307375488281,1.4357846797399E-008,7.1789233986993E-008
0.244,1.9728856716325E-008,9.8644283581624E-008
0.24407397460938,2.0157696028731E-008,1.0078848014365E-007
0.245,2.1574971757603E-008,1.0787485878802E-007
0.24507421875,2.1688208057101E-008,1.084410402855E-007
0.246,2.0773836246268E-008,1.0386918123134E-007
0.24607443847656,2.0699016858191E-008,1.0349508429096E-007
0.247,1.5375179010546E-008,7.6875895052731E-008
0.24707465820312,1.4948228072568E-008,7.4741140362842E-008
0.248,1.6049650308374E-008,8.0248251541871E-008
0.24807490234375,1.6138564402505E-008,8.0692822012523E-008
0.249,2.6292323637298E-008,1.3146161818649E-007
0.24907512207031,2.7112855422728E-008,1.3556427711364E-007
0.25,1.5008458821964E-008,7.504229410982E-008
0.25007536621094,1.4022891899912E-008,7.011445949956E-008
0.251,1.7583605326389E-008,8.7918026631946E-008
0.25107561035156,1.7872994011733E-008,8.9364970058664E-008
0.252,1.4171689244785E-008,7.0858446223927E-008
0.25207583007813,1.3868908459021E-008,6.9344542295106E-008
0.253,1.6362162052899E-008,8.1810810264495E-008
0.25307604980469,1.6567019181615E-008,8.2835095908076E-008
0.254,2.3778883687892E-008,1.1889441843946E-007
0.25407629394531,2.4370695561074E-008,1.2185347780537E-007
0.255,1.5176198021757E-008,7.5880990108787E-008
