"Lat(Pc)","Lat(Pg)","U(m/s)","Sigma_U","Sigma_Lt","Npt"
-42.4,-46.24,2.57,6.78,0.03,8
-42.3,-46.14,3.66,7.91,0.03,12
-42.21,-46.04,6.93,8.59,0.03,13
-42.1,-45.94,12.76,8.91,0.03,8
-42,-45.84,17.29,8.65,0.03,9
-41.9,-45.74,19.33,8.26,0.03,14
-41.8,-45.64,19.07,8.73,0.03,13
-41.7,-45.54,20.82,8.76,0.03,13
-41.6,-45.44,23.13,8.48,0.03,12
-41.5,-45.33,25.13,7.87,0.03,14
-41.4,-45.23,25.38,7.22,0.03,12
-41.29,-45.13,25.2,6.45,0.03,12
-41.2,-45.03,25.67,5.96,0.03,13
-41.1,-44.93,26.26,5.56,0.03,12
-41,-44.83,27.65,5.87,0.03,13
-40.9,-44.73,28.63,5.69,0.03,13
-40.8,-44.63,29.65,5.06,0.03,13
-40.69,-44.52,30.4,4.09,0.02,14
-40.59,-44.42,31.33,3.24,0.02,13
-40.5,-44.32,32.37,3.07,0.02,16
-40.4,-44.23,33.39,2.77,0.02,15
-40.3,-44.13,34.67,2.33,0.03,13
-40.2,-44.02,35.98,1.71,0.03,15
-40.1,-43.92,37.11,1.4,0.03,13
-40,-43.82,37.7,1.36,0.03,16
-39.9,-43.71,38.16,1.45,0.03,15
-39.8,-43.61,38.46,1.52,0.03,11
-39.7,-43.51,38.8,1.72,0.03,13
-39.6,-43.41,39.08,1.89,0.03,14
-39.5,-43.31,39.31,1.93,0.03,16
-39.4,-43.21,39.24,1.97,0.03,15
-39.31,-43.11,38.64,1.9,0.03,13
-39.2,-43.01,37.4,2.03,0.03,13
-39.1,-42.91,36.07,1.97,0.02,15
-39,-42.8,34.51,1.95,0.02,19
-38.9,-42.7,32.92,1.9,0.03,11
-38.8,-42.6,31.16,1.97,0.02,14
-38.7,-42.49,29.14,2.36,0.02,18
-38.6,-42.39,27.28,2.59,0.02,15
-38.5,-42.29,25.19,2.76,0.03,14
-38.4,-42.19,23.28,2.48,0.03,14
-38.3,-42.08,21.29,2.37,0.03,16
-38.19,-41.98,19.17,2.3,0.03,15
-38.09,-41.87,17.41,2.17,0.03,14
-37.99,-41.77,15.94,1.95,0.02,15
-37.9,-41.67,14.77,1.76,0.03,14
-37.8,-41.57,13.75,1.9,0.02,15
-37.69,-41.47,12.75,1.94,0.03,18
-37.59,-41.36,12.13,2.02,0.03,17
