"Lat(Pc)","Lat(Pg)","U(m/s)","Sigma_U","Sigma_Lt","Npt"
45.2,49.03,-3.95,2.13,0.04,19
45.3,49.13,-4.07,2.33,0.03,16
45.4,49.23,-4.05,2.35,0.03,21
45.5,49.33,-4.09,2.31,0.02,20
45.6,49.42,-4.21,2.13,0.02,22
45.7,49.52,-4.26,1.86,0.02,18
45.8,49.62,-4.41,1.51,0.02,19
45.9,49.72,-4.5,1.23,0.02,15
46,49.82,-4.57,1.23,0.03,19
46.1,49.92,-4.32,1.38,0.03,23
46.2,50.02,-4.19,1.57,0.03,17
46.3,50.12,-4.03,1.72,0.03,20
46.4,50.22,-4.05,1.75,0.04,16
46.5,50.32,-4.15,1.58,0.03,20
46.6,50.41,-4.19,1.42,0.04,17
46.7,50.51,-4.37,1.4,0.03,20
46.79,50.6,-4.28,1.43,0.03,19
46.9,50.7,-4.34,1.51,0.03,20
47,50.8,-4.22,1.49,0.03,23
47.1,50.91,-4.15,1.55,0.03,21
47.2,51,-4.12,1.59,0.04,20
47.3,51.1,-4.02,1.6,0.03,21
47.4,51.19,-3.92,1.67,0.03,23
47.5,51.29,-3.61,1.59,0.03,20
47.6,51.39,-3.46,1.9,0.03,23
47.7,51.49,-3.56,2.06,0.03,17
47.8,51.58,-3.78,2.22,0.02,18
47.89,51.68,-4.02,2.13,0.02,20
48,51.78,-4.16,2.38,0.03,22
48.1,51.88,-4.48,2.8,0.03,19
48.2,51.98,-4.43,3.03,0.04,13
48.3,52.07,-4.29,3.32,0.03,15
48.4,52.17,-3.94,3.4,0.03,19
48.5,52.27,-3.94,3.49,0.03,20
48.6,52.37,-3.83,3.01,0.03,19
48.7,52.47,-3.8,2.66,0.03,19
48.8,52.56,-3.89,2.33,0.03,20
48.9,52.66,-4,2.24,0.03,19
49,52.76,-4.3,2.09,0.03,20
49.1,52.86,-4.16,1.97,0.02,20
49.2,52.96,-3.84,1.91,0.03,20
49.3,53.05,-3.1,1.89,0.02,22
49.4,53.15,-2.57,1.95,0.03,23
49.5,53.25,-2.2,1.98,0.02,23
49.61,53.35,-1.98,1.9,0.03,22
49.71,53.44,-1.59,1.85,0.02,15
49.8,53.54,-1.14,1.78,0.03,21
49.9,53.64,-0.62,1.84,0.02,24
50,53.73,-0.09,2.03,0.03,23
50.1,53.83,0.69,2.31,0.03,22
50.2,53.92,1.6,2.67,0.04,18
50.3,54.02,2.47,2.93,0.03,25
50.4,54.11,3.01,3.34,0.02,19
50.49,54.21,3.61,3.7,0.02,17
50.6,54.31,4.53,3.77,0.02,21
50.7,54.41,5.48,3.78,0.03,21
50.8,54.51,6.38,3.51,0.03,24
50.9,54.6,7.29,3.34,0.03,22
51,54.7,8.7,2.96,0.03,17
51.1,54.8,10.33,2.9,0.04,19
51.2,54.89,11.95,2.91,0.04,14
51.31,54.99,13.19,3.08,0.03,20
51.41,55.09,14.61,3.36,0.04,17
51.5,55.18,15.94,3.88,0.03,18
51.6,55.27,17.47,4.53,0.03,18
51.7,55.37,18.66,4.87,0.02,15
51.8,55.47,19.85,4.89,0.02,14
51.9,55.56,21,4.62,0.03,21
52,55.66,22.17,4.26,0.03,16
52.1,55.76,23.06,3.8,0.03,18
52.2,55.85,23.42,3.4,0.03,16
52.3,55.95,22.77,2.8,0.03,13
52.4,56.04,21.38,2.37,0.03,13
52.5,56.14,19.67,1.87,0.02,20
52.6,56.23,18.03,1.72,0.03,19
52.7,56.33,16.81,1.84,0.02,17
52.8,56.43,15.98,2.33,0.04,21
52.9,56.52,15.61,2.95,0.03,19
53,56.61,15.03,3.54,0.04,21
53.1,56.71,14.3,3.83,0.03,19
53.2,56.81,12.83,3.89,0.03,16
53.3,56.9,10.71,3.77,0.03,10
53.4,57,8.53,3.52,0.04,15
53.5,57.1,6.59,3.07,0.04,15
53.6,57.19,4.5,3.04,0.04,10
53.7,57.29,2.23,3.45,0.03,14
53.8,57.38,0.16,4.22,0.04,17
53.9,57.48,-0.43,4.59,0.03,21
54,57.57,-1.19,4.51,0.03,27
54.1,57.67,-2.11,3.94,0.02,19
54.2,57.76,-2.86,3.34,0.03,15
54.3,57.86,-2.97,2.68,0.03,13
54.4,57.96,-2.57,2.42,0.03,15
54.51,58.05,-2.68,2.02,0.03,20
54.61,58.15,-2.87,1.83,0.03,16
54.7,58.24,-3.04,1.65,0.02,13
54.8,58.33,-3.29,1.8,0.03,18
54.9,58.42,-3.69,2.09,0.03,15
55,58.52,-4.58,2.61,0.04,17
55.1,58.61,-5.33,3.11,0.04,16
55.2,58.71,-5.89,3.35,0.03,12
55.31,58.81,-6.24,3.46,0.03,13
55.41,58.91,-6.46,3.41,0.03,17
55.51,59,-6.79,3.37,0.04,14
55.61,59.1,-7.04,3.44,0.03,19
55.71,59.19,-6.8,3.37,0.02,13
55.81,59.29,-6.84,3.69,0.02,12
55.91,59.38,-6.13,3.3,0.02,9
56.01,59.48,-6.1,3.32,0.03,14
56.1,59.57,-5.67,2.98,0.03,13
56.2,59.66,-5.73,3.21,0.04,11
56.3,59.75,-5.69,3.05,0.03,15
56.4,59.85,-5.62,2.7,0.03,11
56.5,59.94,-5.43,2.22,0.03,14
56.6,60.04,-5.17,1.85,0.02,11
56.71,60.13,-4.8,1.69,0.01,12
56.81,60.23,-4.67,1.81,0.02,13
56.91,60.32,-4.68,1.98,0.04,16
57,60.41,-4.83,2.25,0.04,14
57.1,60.51,-4.8,2.38,0.04,16
57.2,60.6,-4.91,2.44,0.03,13
57.3,60.69,-4.72,2.45,0.03,10
57.4,60.78,-4.72,2.49,0.02,16
57.5,60.88,-4.35,2.47,0.03,12
57.6,60.97,-4.28,2.54,0.03,17
57.7,61.07,-3.76,2.44,0.03,12
57.8,61.16,-3.61,2.56,0.03,13
57.9,61.25,-3.36,2.55,0.03,14
58,61.35,-3.37,2.72,0.03,16
58.1,61.44,-3.2,2.78,0.03,18
58.2,61.54,-2.73,2.87,0.03,15
58.3,61.63,-2.3,2.75,0.03,17
58.4,61.72,-1.8,2.66,0.04,14
58.5,61.82,-1.7,2.57,0.03,14
58.6,61.91,-1.52,2.56,0.03,13
58.71,62.01,-0.82,2.69,0.03,14
58.81,62.1,-0.33,2.68,0.03,14
58.91,62.2,0.45,2.97,0.04,19
59.01,62.29,0.46,2.7,0.03,17
59.11,62.38,1,2.65,0.03,13
59.2,62.47,1.96,2.86,0.03,14
59.3,62.56,3.91,3.56,0.03,20
59.4,62.66,6.17,4.04,0.04,14
59.51,62.75,7.1,4.3,0.03,20
59.61,62.85,7.92,4.16,0.05,16
59.71,62.94,8.25,4.17,0.02,14
59.8,63.03,9.11,4.04,0.03,17
59.9,63.12,9.58,4.09,0.02,13
60,63.21,10.04,3.89,0.03,15
60.1,63.31,10.72,3.58,0.02,14
60.21,63.4,11.62,3.33,0.01,13
60.31,63.5,12.45,3.34,0.02,14
60.41,63.59,13.5,3.38,0.03,18
60.5,63.68,14.04,3.49,0.04,15
60.61,63.77,14.2,3.75,0.03,18
60.71,63.87,14.12,3.61,0.03,14
60.81,63.96,14.18,3.48,0.02,10
60.91,64.05,14.49,3.24,0.02,17
61,64.14,14.84,3.3,0.02,16
61.11,64.24,15.22,3.23,0.02,13
61.2,64.33,15.2,3.08,0.02,9
61.3,64.42,14.43,3.1,0.02,10
61.4,64.51,13.82,3.13,0.03,15
61.5,64.6,13.68,3.31,0.02,18
61.6,64.7,13.56,3.54,0.02,16
61.7,64.79,12.86,3.83,0.02,15
61.8,64.88,12.22,3.89,0.02,20
61.91,64.98,11.49,3.92,0.03,12
62.01,65.07,10.51,3.37,0.02,13
62.11,65.16,9.28,3.3,0.03,11
62.21,65.25,8.25,3.21,0.02,13
62.3,65.34,7.58,3.59,0.04,14
62.4,65.43,7.28,3.62,0.04,12
62.5,65.53,6.68,3.47,0.03,16
62.6,65.62,6.12,3.38,0.03,11
62.71,65.72,5.77,3.53,0.03,11
62.81,65.81,5.99,3.62,0.04,13
62.91,65.9,5.9,3.73,0.03,13
63.01,65.99,5.82,3.79,0.04,10
63.1,66.08,5.59,4.33,0.04,11
63.21,66.18,5.78,4.12,0.04,9
63.31,66.27,5.99,5.02,0.04,12
63.41,66.36,5.78,4.23,0.03,9
63.51,66.45,6.58,5.14,0.02,9
63.61,66.54,7.25,4.01,0.03,8
63.71,66.64,8.77,4.67,0.03,4
63.81,66.73,9.96,4.99,0.02,8
63.91,66.82,10.64,5.48,0.03,6
64.01,66.91,10.76,6.55,0.03,8
64.11,67,11.47,6.41,0.03,10
64.21,67.09,12.34,7.06,0.02,6
64.3,67.18,13.89,7.12,0.02,9
64.4,67.27,14.18,7.84,0.03,7
64.51,67.37,16.02,8.15,0.03,7
64.6,67.45,18.5,7.25,0.03,6
64.7,67.54,21.05,6.7,0.02,4
64.8,67.64,22.37,6.11,0.02,2
64.91,67.74,24.94,4.76,0.02,6
65.01,67.82,27.79,2.52,0.03,3
65.11,67.92,28.41,2.67,0.03,2
65.2,68,27.47,3.69,0.03,7
65.3,68.09,25.44,5.59,0.04,3
65.4,68.18,25.36,4.4,0.04,7
65.5,68.28,25.57,4.37,0.03,3
65.61,68.37,25.38,3.69,0.03,4
65.81,68.55,25.77,3.29,0.03,3
65.91,68.64,26.92,3.31,0.02,5
66.01,68.73,26.6,3.67,0.03,5
66.11,68.82,26.81,4.13,0.02,6
66.2,68.91,25.61,4.6,0.03,6
66.3,69,21.65,3.54,0.02,4
66.39,69.09,18.21,2.45,0.02,7
66.5,69.18,14.96,3.08,0.02,5
66.59,69.27,15.6,3.47,0.02,10
66.69,69.35,14.1,3.92,0.03,4
66.79,69.44,12.97,2.35,0.03,5
66.89,69.54,10.58,2.42,0.04,6
66.99,69.63,9.97,3.05,0.04,4
67.1,69.73,7.88,3.41,0.03,5
67.19,69.81,6.65,3.04,0.03,3
67.29,69.9,4.61,3.05,0.03,6
67.39,69.99,3.63,2.91,0.03,4
67.5,70.09,2.12,3.73,0.03,4
67.61,70.19,0.84,3.34,0.03,6
67.71,70.28,0.2,3.78,0.02,5
67.81,70.37,-0.1,3.68,0.01,5
67.91,70.46,-0.95,3.89,0.02,6
68.01,70.55,-1.73,3.78,0.02,3
68.11,70.64,-1.77,3.81,0.03,3
68.21,70.73,-1,3.84,0.03,6
68.3,70.81,-0.75,3.75,0.03,5
68.4,70.9,-0.74,3.52,0.02,7
68.5,71,-1.09,2.95,0.02,5
68.6,71.09,-1.03,2.93,0.02,5
68.7,71.18,-1.85,2.74,0.03,5
68.8,71.26,-1.82,2.82,0.03,7
68.9,71.35,-1.73,2.5,0.03,8
69,71.44,-1.64,2.39,0.02,4
69.09,71.53,-1.84,1.73,0.02,3
69.19,71.62,-1.23,1.73,0.03,4
69.3,71.71,-0.96,1.36,0.03,7
69.4,71.81,-0.51,1.7,0.04,4
69.51,71.9,-1.58,1.16,0.04,4
69.61,71.99,-1.8,1.8,0.03,5
69.71,72.08,-2.62,1.61,0.03,7
69.75,72.12,-2.46,2.11,0.02,9
70.25,72.57,-2.5,1.44,0.02,2
70.25,72.57,-2.5,1.44,0.02,3
70.88,73.13,-3.63,3.7,0,2
