     Lat(Pc)      Lat(Pg)       U(m/s)      Sigma_U     Sigma_Lt   Npt
      -21.30       -24.03        17.08         5.55         0.09    61
      -21.00       -23.70        11.33         4.51         0.09    70
      -20.70       -23.37         5.56         4.67         0.09    66
      -20.40       -23.03        -0.30         4.94         0.09    66
      -20.11       -22.71        -4.59         5.21         0.08    67
      -19.81       -22.39        -7.88         4.53         0.09    67
      -19.51       -22.05       -10.42         3.57         0.09    74
      -19.20       -21.72       -13.98         4.36         0.09    69
      -18.91       -21.39       -20.73         5.34         0.09    73
      -18.62       -21.07       -27.82         5.45         0.08    57
      -18.31       -20.73       -39.03         7.00         0.08    29
      -18.01       -20.39       -45.55         8.41         0.08    14
      -17.69       -20.04       -52.05         9.05         0.09    63
      -17.40       -19.71       -53.15         6.54         0.08    74
      -17.10       -19.38       -54.47         4.54         0.08    64
      -16.79       -19.04       -55.33         3.64         0.08    72
      -16.51       -18.72       -56.06         5.22         0.09    64
      -16.21       -18.39       -51.53         4.80         0.09    62
      -15.91       -18.06       -44.21         5.08         0.08    58
      -15.61       -17.72       -34.44         5.26         0.08    40
      -15.30       -17.37       -27.71         6.11         0.08    57
      -15.00       -17.04       -20.52         6.85         0.08    57
      -14.70       -16.69       -16.25         5.19         0.08    71
      -14.40       -16.36       -13.83         5.11         0.08    81
      -14.10       -16.03       -12.24         3.79         0.08    65
      -13.80       -15.69       -10.15         3.58         0.08    72
      -13.51       -15.36        -8.21         3.12         0.09    65
      -13.22       -15.03        -5.27         3.19         0.08    38
      -12.92       -14.69        -3.46         3.71         0.08    47
      -12.62       -14.36         2.81         4.81         0.08    53
      -12.31       -14.01         6.39         5.36         0.09    67
      -12.00       -13.67        12.02         5.90         0.09    32
      -11.69       -13.31        16.19         5.13         0.08    50
      -11.39       -12.97        21.59         4.98         0.08    61
      -11.09       -12.64        26.82         4.48         0.08    60
      -10.80       -12.30        30.39         4.11         0.09    60
      -10.50       -11.96        32.66         4.01         0.08    77
      -10.19       -11.62        35.53         4.66         0.09    69
       -9.89       -11.28        37.92         5.08         0.09    74
       -9.60       -10.94        43.52         6.00         0.09    68
       -9.30       -10.61        48.76         7.00         0.09    64
       -9.01       -10.28        57.25         7.89         0.09    76
       -8.70        -9.92        65.94         7.26         0.09    54
       -8.40        -9.58        73.73         6.17         0.08    27
       -8.09        -9.23        79.58         5.49         0.09    49
       -7.79        -8.90        83.90         6.99         0.08    69
       -7.49        -8.55        89.90         6.78         0.09    66
       -7.19        -8.21        93.49         6.23         0.08    91
       -6.91        -7.89        94.30         5.34         0.08    84
       -6.60        -7.54        93.77         4.52         0.08    52
       -6.30        -7.20        94.66         4.13         0.08    65
       -5.99        -6.84        96.89         3.00         0.09   100
       -5.70        -6.51        97.29         3.97         0.09    73
       -5.40        -6.17        95.88         4.20         0.09   111
       -5.10        -5.83        93.83         4.79         0.09    87
       -4.81        -5.50        90.80         5.30         0.09    83
       -4.49        -5.13        85.76         6.19         0.09    47
       -4.20        -4.80        81.00         7.10         0.09    41
       -3.89        -4.44        76.64         7.16         0.08    70
       -3.60        -4.11        74.35         7.52         0.08    37
       -3.30        -3.77        69.96         7.11         0.09    26
       -2.99        -3.42        67.14         7.33         0.09    19
       -2.72        -3.11        66.66         5.59         0.08    32
       -2.43        -2.78        68.35         6.69         0.07    15
       -2.13        -2.43        70.83         6.27         0.07    14
       -1.80        -2.06        71.67         8.05         0.08    15
       -1.48        -1.69        87.68         9.55         0.08    12
       -1.20        -1.37        95.90        15.81         0.08    12
       -0.90        -1.03       107.06        21.67         0.08    14
       -0.59        -0.68        99.74        23.34         0.08     7
       -0.31        -0.36       107.57        18.90         0.06    13
       -0.00        -0.00       102.93        15.48         0.07    10
        0.27         0.31       100.81        15.65         0.07    16
        0.61         0.70        89.82        20.97         0.08    18
        0.89         1.02        94.28        18.60         0.07     8
        1.20         1.38        94.10        20.34         0.08    20
        1.48         1.69        87.89        16.90         0.08    17
        1.78         2.04        79.20        24.18         0.10    25
        2.08         2.37        67.99        22.34         0.08     5
        2.39         2.73        68.11        27.42         0.08     4
        2.70         3.09        58.20        20.45         0.07     5
        3.02         3.46        52.74        14.58         0.06    19
        3.31         3.78        47.20         6.27         0.06     3
        3.61         4.13        46.96         4.72         0.05    18
        3.88         4.43        49.92         5.60         0.07    15
        4.21         4.81        48.92         4.48         0.08    15
        4.51         5.15        50.24         4.36         0.08    49
        4.81         5.50        51.99         4.51         0.08    48
        5.10         5.82        53.84         4.68         0.08    76
        5.39         6.15        54.31         5.03         0.08    41
        5.69         6.50        53.64         4.40         0.09    39
        6.01         6.87        52.49         3.55         0.10    21
        6.30         7.19        52.95         4.51         0.09     9
        6.62         7.56        55.91         5.73         0.07    30
        6.88         7.86        58.49         6.29         0.06    27
        7.19         8.20        62.57         5.13         0.07    19
        7.47         8.53        65.19         5.01         0.08    10
        7.80         8.90        67.63         6.35         0.09    25
        8.11         9.26        69.61         6.80         0.08    53
        8.40         9.58        70.48         5.87         0.08    61
        8.69         9.92        71.60         4.65         0.08    66
        8.99        10.26        70.66         4.08         0.09    57
        9.30        10.60        70.46         4.51         0.09    48
        9.60        10.95        69.84         3.80         0.09    76
        9.90        11.28        68.62         3.31         0.08    69
       10.20        11.62        65.79         3.74         0.09    68
       10.50        11.96        60.94         5.41         0.09    76
       10.80        12.30        55.55         7.28         0.09    80
       11.10        12.65        49.61         7.77         0.09   103
       11.40        12.99        43.40         8.59         0.08    94
       11.70        13.32        37.16         9.61         0.09    81
       11.99        13.65        29.02         9.55         0.09    90
       12.30        14.00        20.86         7.41         0.09    75
       12.61        14.34        11.64         4.66         0.09    69
       12.91        14.68         6.52         2.85         0.09    64
       13.21        15.02         3.27         2.24         0.09    65
       13.50        15.35         0.72         1.73         0.09    60
       13.80        15.69        -2.33         1.66         0.09    66
       14.09        16.02        -5.34         1.98         0.08    62
       14.38        16.34        -7.71         2.59         0.09    59
       14.68        16.68       -11.66         4.73         0.09    35
       15.00        17.03       -15.73         5.05         0.09    44
       15.31        17.39       -18.65         4.71         0.09    58
       15.62        17.73       -17.47         3.43         0.09    57
       15.91        18.06       -12.64         3.05         0.08    55
       16.21        18.39        -6.91         3.25         0.09    58
       16.51        18.72        -0.49         2.87         0.08    59
       16.80        19.05         5.48         3.25         0.09    60
       17.11        19.39        11.96         3.17         0.09    61
       17.41        19.72        19.20         3.32         0.09    67
       17.70        20.05        28.56         3.56         0.09    60
       18.00        20.38        39.25         3.64         0.09    56
       18.30        20.72        51.54         4.33         0.08    55
       18.60        21.05        64.59         4.59         0.08    56
       18.91        21.39        78.82         5.76         0.08    49
       19.19        21.70        90.93         5.90         0.08    50
       19.49        22.04        99.34         6.31         0.08    27
       19.80        22.37       107.68         7.38         0.08    17
       20.11        22.72       117.48         8.47         0.08    23
       20.41        23.05       127.89         7.86         0.08    27
       20.71        23.38       136.48         6.15         0.08    25
       21.00        23.70       139.91         4.89         0.08    33
       21.30        24.03       138.61         4.15         0.08    26
       21.60        24.36       133.77         3.66         0.09    50
       21.90        24.69       125.79         3.45         0.08    67
       22.19        25.01       115.32         5.74         0.09    56
       22.49        25.33       100.69         6.16         0.08    36
       22.79        25.67        84.39         7.63         0.08    28
       23.10        26.01        70.14         6.44         0.08    20
       23.41        26.34        58.83         6.72         0.08    48
       23.71        26.66        51.67         5.85         0.09    61
       24.01        26.99        44.53         5.83         0.09    63
       24.31        27.31        37.76         5.37         0.09    63
       24.60        27.64        30.78         3.70         0.08    57
       24.90        27.96        25.31         2.82         0.09    59
       25.20        28.28        19.84         2.70         0.09    65
       25.50        28.61        14.91         3.31         0.09    58
       25.80        28.93         9.06         3.96         0.08    57
       26.09        29.25         4.43         5.38         0.09    47
       26.40        29.58        -3.00         5.45         0.09    43
       26.70        29.90        -8.70         6.02         0.09    45
       27.01        30.24       -15.29         5.22         0.09    42
       27.30        30.56       -19.27         5.53         0.09    65
       27.60        30.87       -22.26         4.38         0.09    82
       27.89        31.18       -23.48         3.60         0.09    77
       28.19        31.51       -23.82         3.39         0.08    79
       28.50        31.83       -22.97         3.22         0.09    86
       28.80        32.16       -20.90         3.33         0.09    83
       29.10        32.47       -15.49         2.97         0.09    69
       29.39        32.79        -7.78         3.64         0.09    79
       29.69        33.11        -0.59         3.38         0.08    68
       29.99        33.42         5.34         3.72         0.09    84
       30.30        33.75         9.03         3.82         0.09    41
       30.60        34.07        15.28         4.16         0.09    51
       30.91        34.40        21.74         4.29         0.09    79
       31.21        34.72        28.60         3.74         0.09    80
