     Lat(Pc)      Lat(Pg)       U(m/s)      Sigma_U     Sigma_Lt   Npt
       18.01        20.39        24.12        12.06         0.09    29
       18.32        20.73        39.33        12.45         0.09    40
       18.61        21.06        49.06        13.84         0.09    44
       18.88        21.36        53.09        18.65         0.08    33
       19.02        21.51        52.22        21.64         0.07    16
       19.53        22.08        83.92        11.87         0.06     0
       20.03        22.63       124.51         0.02         0.00     1
       20.17        22.78       132.59         7.00         0.04     1
       20.43        23.07       143.40        11.09         0.06     7
       20.71        23.38       147.45         9.38         0.09    31
       21.00        23.70       145.09         6.58         0.10    27
       21.30        24.03       141.47         5.38         0.09    30
       21.60        24.36       136.72         4.88         0.08    46
       21.88        24.66       130.03         5.81         0.08    39
       22.02        24.82       125.57         6.42         0.08    26
       22.14        24.95       121.61         8.37         0.08     0
       23.16        26.07        62.22         6.67         0.06     0
       23.25        26.16        60.09         5.14         0.05     4
       23.40        26.33        55.80         6.45         0.07     9
       23.69        26.64        48.08         5.95         0.08     7
       24.01        26.99        38.43         7.65         0.09    24
       24.30        27.31        31.01         6.50         0.08    31
       24.57        27.60        25.66         6.04         0.08    31
       24.87        27.92        20.48         3.36         0.07    20
       25.17        28.25        16.16         1.99         0.08     4
       25.48        28.59        11.79         1.11         0.08    10
       25.79        28.92         9.77         1.31         0.10    13
       26.12        29.28         6.42         3.55         0.07     7
       26.43        29.61         0.61         6.49         0.07     5
       26.73        29.94        -4.47         7.63         0.06    31
       27.00        30.23        -9.78         8.53         0.08    33
       27.30        30.55       -14.54         8.42         0.08    32
       27.60        30.87       -18.03         9.80         0.08    34
       27.90        31.19       -21.44         7.57         0.08    39
       28.20        31.51       -23.50         5.17         0.09    31
       28.50        31.83       -25.27         3.58         0.09    34
       28.80        32.16       -23.52         3.98         0.08    38
       29.09        32.47       -17.49         4.50         0.08    31
       29.39        32.79       -11.27         4.62         0.08    39
       29.69        33.10        -4.61         4.67         0.09    39
       30.00        33.43         1.42         5.77         0.09    32
       30.31        33.76         7.87         5.51         0.09    38
       30.62        34.09        14.63         5.10         0.09    36
       30.92        34.41        21.37         3.81         0.08    29
       31.21        34.72        27.57         3.42         0.08    33
       31.50        35.02        31.26         2.95         0.08    31
       31.79        35.33        31.29         2.75         0.08    36
       32.10        35.65        28.24         2.79         0.09    27
       32.40        35.97        25.91         3.04         0.08    39
       32.70        36.29        24.63         3.30         0.09    32
       33.00        36.60        23.39         4.38         0.08    33
       33.30        36.92        21.54         4.81         0.09    27
       33.61        37.23        16.27         5.26         0.09    33
       33.91        37.55        11.26         4.58         0.09    33
       34.20        37.86         2.49         7.42         0.08    27
       34.51        38.17        -4.11         7.47         0.08    27
       34.80        38.48        -9.34         7.44         0.08    28
       35.10        38.79       -11.60         4.10         0.08    23
       35.40        39.10       -12.88         3.15         0.08    26
       35.70        39.41       -13.63         2.63         0.08    27
       35.99        39.72       -13.36         2.93         0.08    23
       36.29        40.02       -11.99         3.33         0.08    26
       36.59        40.33       -10.16         3.68         0.09    26
       36.89        40.64        -7.48         3.20         0.09    27
       37.19        40.95        -5.75         2.92         0.09    29
       37.50        41.27        -4.25         3.39         0.09    30
       37.81        41.58        -0.42         4.16         0.09    25
       38.11        41.89         4.94         4.95         0.09    30
       38.41        42.20         9.91         4.71         0.08    30
       38.70        42.49        11.39         3.92         0.08    28
       39.00        42.80        11.19         3.09         0.09    37
       39.31        43.12         9.38         2.76         0.09    38
       39.61        43.43         7.10         2.67         0.09    40
       39.90        43.72         5.00         2.93         0.08    39
       40.19        44.01         3.62         2.97         0.09    43
       40.49        44.32         2.26         2.92         0.09    40
       40.80        44.63         0.95         2.51         0.08    36
       41.10        44.93        -0.07         2.06         0.09    50
       41.40        45.23         0.18         1.84         0.09    50
       41.70        45.53         1.52         1.93         0.09    43
       42.00        45.84         4.49         2.30         0.09    46
       42.30        46.14         8.38         2.70         0.09    45
       42.61        46.45        11.52         2.77         0.09    39
       42.91        46.75        12.65         2.60         0.09    48
       43.21        47.05        12.14         2.40         0.09    40
       43.52        47.36        11.38         2.43         0.09    41
       43.81        47.65        11.26         2.77         0.09    36
       44.11        47.95        10.71         3.52         0.09    41
       44.41        48.24         8.46         3.56         0.08    29
       44.69        48.53         6.50         3.70         0.08    42
       44.99        48.82         5.99         5.22         0.08    31
       45.29        49.12         7.96         8.19         0.09    21
       45.61        49.44         6.57        10.19         0.09    19
       45.92        49.75         2.00         8.52         0.09    23
       46.22        50.04        -3.82         5.59         0.09    42
       46.51        50.32        -6.19         3.07         0.09    44
       46.81        50.61        -5.80         2.55         0.09    50
       47.10        50.90        -4.71         2.47         0.09    48
       47.39        51.19        -4.44         3.04         0.09    38
       47.70        51.49        -5.94         3.43         0.08    46
       48.00        51.78        -7.79         3.49         0.09    50
       48.31        52.08        -8.67         2.96         0.08    35
       48.60        52.37        -7.95         2.28         0.09    48
       48.90        52.66        -6.23         2.18         0.09    44
       49.20        52.95        -4.14         2.60         0.08    44
       49.49        53.24        -2.23         3.35         0.08    47
       49.78        53.52        -0.45         3.90         0.09    39
       50.09        53.81         0.65         4.01         0.09    46
       50.38        54.10         2.12         3.77         0.09    48
       50.69        54.40         4.24         3.35         0.09    35
       50.99        54.69         6.80         3.37         0.09    50
       51.29        54.98         9.94         3.55         0.09    47
       51.59        55.26        12.92         3.94         0.09    38
       51.89        55.55        14.59         3.62         0.08    49
       52.19        55.84        14.42         3.38         0.08    36
       52.50        56.14        12.56         2.94         0.08    43
       52.80        56.42        10.46         2.62         0.09    47
       53.10        56.71         8.40         2.27         0.09    41
       53.40        57.00         5.93         2.19         0.09    41
       53.70        57.28         3.20         2.32         0.09    41
       54.00        57.57         0.69         2.43         0.09    36
       54.29        57.85        -1.16         2.40         0.09    39
       54.60        58.14        -2.75         2.77         0.09    42
       54.91        58.43        -4.43         2.73         0.08    45
       55.21        58.72        -4.66         2.74         0.08    32
       55.50        58.99        -0.31         5.14         0.07    41
       55.79        59.27         3.91         8.06         0.08    29
       56.10        59.56         5.64        10.58         0.09    36
       56.41        59.85         1.42        10.39         0.09    24
       56.71        60.13        -2.41         8.06         0.09    32
       57.00        60.41        -5.46         5.59         0.09    35
       57.30        60.69        -6.55         3.18         0.09    37
       57.60        60.97        -7.51         2.73         0.09    29
       57.90        61.25        -7.38         2.60         0.08    30
       58.19        61.52        -6.70         2.83         0.08    30
       58.48        61.80        -4.97         3.13         0.09    29
       58.79        62.08        -2.31         3.39         0.09    27
       59.10        62.37         0.98         3.38         0.09    25
       59.41        62.66         3.23         3.47         0.09    28
       59.70        62.94         4.31         4.50         0.09    26
       60.00        63.21         5.61         5.80         0.09    24
       60.31        63.50         8.82         6.97         0.09    26
       60.61        63.78        12.20         6.69         0.08    20
       60.88        64.02        13.32         5.60         0.07    18
       61.15        64.28        10.90         4.67         0.04     6
       61.34        64.46         8.05         4.05         0.02     1
