"Lat(Pc)","Lat(Pg)","U(m/s)","Sigma_U","Sigma_Lt","Npt"
12.61,14.38,13.92,5.1,0.08,107
12.91,14.71,6.91,4.1,0.09,112
13.2,15.05,2.44,2.97,0.09,106
13.5,15.38,-0.94,2.67,0.09,103
13.79,15.71,-4.72,3.09,0.09,101
14.09,16.04,-9.03,3.08,0.09,95
14.39,16.38,-13.64,3.21,0.09,90
14.69,16.72,-17.95,2.76,0.09,87
15,17.06,-21.53,2.51,0.09,90
15.3,17.4,-23.19,2.52,0.09,92
15.61,17.75,-22.63,2.77,0.09,92
15.91,18.08,-21,3.5,0.08,98
16.21,18.41,-17.8,3.78,0.09,91
16.51,18.75,-13.26,3.79,0.09,98
16.8,19.08,-7.43,3.21,0.09,112
17.1,19.41,-1.18,3.58,0.09,111
17.41,19.75,6.71,4.08,0.09,107
17.71,20.08,16.06,5.32,0.09,114
18.01,20.42,26.46,5.69,0.09,126
18.3,20.75,37.19,6.22,0.09,130
18.6,21.08,48.16,6.16,0.09,128
18.9,21.4,60.73,6.28,0.08,137
19.2,21.73,74.31,6.14,0.09,116
19.5,22.07,87.48,5.83,0.08,140
19.8,22.4,97.8,4.99,0.09,143
20.1,22.73,106.66,5.18,0.09,111
20.4,23.06,116.63,6.19,0.09,64
20.7,23.39,128.69,7.01,0.09,90
20.99,23.71,140.25,6.36,0.09,64
21.3,24.05,148.64,4.81,0.09,104
21.6,24.39,149.95,5.63,0.09,110
21.9,24.72,143.74,6.89,0.09,108
22.2,25.04,130.8,8.32,0.09,138
22.5,25.36,115.2,7.77,0.09,131
22.8,25.69,98.26,7.51,0.09,130
23.1,26.03,81.97,7.52,0.09,107
23.4,26.36,66.88,7.48,0.09,110
23.71,26.68,54.05,6.21,0.09,134
24,27.01,43.52,5.03,0.09,136
24.3,27.33,35.25,4.03,0.09,120
24.6,27.65,29.01,3.79,0.09,143
24.9,27.98,24.8,3.01,0.09,133
25.2,28.31,21.96,2.32,0.09,153
25.5,28.63,19.12,2.3,0.09,176
25.8,28.95,15.21,3.12,0.09,180
26.1,29.28,10.29,3.97,0.09,177
26.4,29.6,4.32,4.72,0.09,176
26.7,29.92,-2.02,4.86,0.09,155
27,30.24,-8.8,5.96,0.08,143
27.3,30.57,-14.27,5.73,0.08,179
27.6,30.89,-18.87,5.76,0.08,196
27.9,31.21,-23.41,5.08,0.09,192
28.21,31.54,-25.94,5.18,0.09,202
28.5,31.86,-26.03,5.33,0.09,153
28.8,32.18,-24.3,5.62,0.09,203
29.1,32.49,-21.38,7.02,0.09,222
29.4,32.81,-16.02,6.77,0.09,193
29.7,33.13,-8.84,6.33,0.09,208
30,33.45,-1.12,5.17,0.09,207
30.3,33.76,5.55,5.2,0.09,196
30.6,34.08,12.1,5.24,0.09,195
30.9,34.4,18.16,5.03,0.09,208
31.2,34.72,23.35,4.95,0.09,172
31.5,35.04,27.85,4.32,0.09,175
31.8,35.35,29.44,3.85,0.09,186
32.1,35.67,28.83,3.64,0.09,155
32.4,35.98,26.3,4.01,0.09,201
32.7,36.29,24.55,4.28,0.09,194
32.99,36.6,23.75,4.33,0.09,173
33.3,36.92,22.75,4.55,0.09,154
33.6,37.24,20.2,5.93,0.09,136
33.9,37.55,15.94,7.58,0.09,109
34.2,37.86,9.96,8.48,0.09,90
34.5,38.17,3.02,8.05,0.09,107
34.8,38.49,-2.97,7.13,0.09,114
35.09,38.79,-5.6,6.01,0.09,89
35.39,39.1,-8.74,6.6,0.09,54
35.7,39.42,-11.23,6.56,0.09,92
36,39.73,-13,5.95,0.08,92
36.3,40.04,-12.1,3.91,0.09,84
36.6,40.35,-11.97,2.94,0.09,114
36.91,40.67,-12.05,2.67,0.09,113
37.2,40.97,-10.49,2.94,0.09,103
37.51,41.28,-5.88,3.38,0.09,118
37.8,41.58,-0.11,3.99,0.08,118
38.1,41.88,6.86,4.18,0.08,109
38.4,42.19,12.92,4.44,0.08,97
38.7,42.5,17.33,4.46,0.08,106
39.01,42.81,18.64,4.88,0.08,116
39.3,43.11,17.09,4.92,0.08,110
39.6,43.41,13.88,5.21,0.08,116
39.9,43.72,9.64,4.24,0.08,96
40.2,44.02,5.98,3.53,0.08,129
40.5,44.33,3.14,2.81,0.09,130
40.8,44.63,1.58,2.69,0.09,125
41.11,44.94,0.64,2.6,0.08,144
41.4,45.24,0.78,2.44,0.08,124
41.7,45.53,2.01,2.68,0.08,129
41.99,45.83,3.77,3.06,0.09,135
42.3,46.14,6.38,3.98,0.09,138
42.6,46.44,8.86,4.73,0.09,114
42.91,46.75,12.11,4.96,0.09,118
43.2,47.04,14.17,4.36,0.09,128
43.5,47.34,15.15,3.33,0.08,128
43.8,47.64,14.2,2.49,0.08,112
44.1,47.93,12.11,2.33,0.08,109
44.41,48.24,9.08,3.07,0.08,98
44.71,48.54,5.06,3.83,0.08,61
45.01,48.84,1.65,4.64,0.08,76
45.31,49.13,-0.59,4.93,0.08,59
45.6,49.43,-1.21,4.98,0.08,28
45.9,49.72,-1.82,4.52,0.08,23
46.21,50.02,-3.29,4.33,0.08,31
46.51,50.32,-4.99,4.01,0.08,57
46.81,50.61,-6.21,3.98,0.09,51
47.1,50.9,-6.05,3.87,0.09,82
47.4,51.19,-4.52,3.72,0.09,61
47.71,51.49,-2.85,3.8,0.09,61
48.01,51.79,-2.12,3.58,0.09,53
48.31,52.08,-3.19,4.25,0.08,73
48.61,52.37,-3.83,4.14,0.08,51
48.9,52.66,-4.16,4.16,0.08,58
49.2,52.95,-4.07,3.53,0.09,65
49.5,53.24,-3.75,3.47,0.09,72
49.8,53.53,-2.63,3.02,0.09,82
50.1,53.82,-0.94,2.91,0.08,97
50.4,54.11,1.02,3.54,0.09,100
50.7,54.4,3.69,4.8,0.09,94
51,54.69,7.66,5.05,0.09,96
51.3,54.98,11.54,5,0.09,94
51.6,55.26,15.96,3.79,0.08,85
