"Pc_Latitude","Pg_Latitude","Longitude","u","v","correl"
-60.03538,-63.24505,174.9162,3.29622,1.09992,0.69083
-60.01743,-63.22838,177.44975,2.19871,0,0.70186
-60.01743,-63.22838,191.0677,3.84807,0,0.70185
-59.99949,-63.21171,133.72905,-1.6501,-1.10005,0.70738
-59.99949,-63.21171,141.59644,0.55003,1.10005,0.79126
-59.99949,-63.21171,126.62839,6.05035,1.10005,0.76484
-59.99949,-63.21171,159.78146,3.29992,1.09996,0.73339
-59.98155,-63.19504,141.57977,1.10068,0,0.76435
-59.98155,-63.19504,178.64987,1.10059,0,0.62542
-59.96361,-63.17837,126.61172,6.60778,1.10009,0.76176
-59.96361,-63.17837,174.66618,11.56264,-1.09999,0.72988
-59.96361,-63.17837,159.76479,3.85421,1.09999,0.7354
-59.94567,-63.1617,141.56311,1.65287,0,0.73163
-59.94567,-63.1617,178.66653,0.55091,0,0.62762
-59.92773,-63.14503,129.81203,-2.20505,1.10012,0.56827
-59.92773,-63.14503,131.99556,-1.65379,-1.10012,0.60908
-59.92773,-63.14503,131.9789,6.61516,-1.10012,0.59427
-59.92773,-63.14503,126.59505,7.16643,1.10012,0.76103
-59.92773,-63.14503,178.33318,11.57557,-1.10003,0.64012
-59.92773,-63.14503,159.73145,4.96096,1.10003,0.74184
-59.9098,-63.12836,141.54643,2.20629,0,0.68956
-59.89186,-63.11169,139.96297,-2.75939,-1.10016,0.64389
-59.89186,-63.11169,138.94621,-2.20752,-1.10016,0.60501
-59.89186,-63.11169,130.69543,6.07067,-1.10016,0.65942
-59.89186,-63.11169,126.57838,7.7263,1.10016,0.76291
-59.89186,-63.11169,178.33318,11.58849,-1.10007,0.66825
-59.89186,-63.11169,159.69812,6.07016,1.10007,0.75333
-59.89186,-63.11169,191.00102,6.07067,1.10016,0.70602
-59.856,-63.07835,138.82951,10.49739,1.1002,0.96004
-59.856,-63.07835,141.51311,3.31496,1.1002,0.63658
-59.856,-63.07835,126.59505,7.18242,1.1002,0.76746
-59.856,-63.07835,178.33318,11.60141,-1.10011,0.7032
-59.856,-63.07835,174.66618,11.60141,-1.10011,0.7754
-59.856,-63.07835,159.68146,6.62937,1.10011,0.76214
-59.83807,-63.06168,131.1788,-2.21121,0,0.64153
-59.82014,-63.04501,132.19557,-0.55311,-1.10024,0.62552
-59.82014,-63.04501,121.51125,1.10622,-1.10024,0.78554
-59.82014,-63.04501,141.49644,3.87176,1.10024,0.57813
-59.82014,-63.04501,126.59505,7.19042,1.10024,0.77451
-59.82014,-63.04501,178.34985,11.06125,-1.10015,0.73467
-59.82014,-63.04501,191.35104,2.21244,1.10024,0.81759
-59.78428,-63.01167,131.94556,0,-1.10028,0.65978
-59.78428,-63.01167,130.86211,0.55372,-1.10028,0.69966
